,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,매출액증가율,유형자산증가율,재고자산증가율,비유동자산증가율,유동자산증가율,자기자본증가율,총자본증가율,순이익증가율,매출액총이익률,매출액순이익률,자기자본순이익률,총자본사업이익률,총자본순이익률,1주당매출액,1주당순이익,유동비율,당좌비율,현금비율,순운전자본비율,부채비율,이자보상배율이자비용,비유동비율,유동자산구성비율,자기자본구성비율,자기자본배율,총자본회전률,자기자본회전률,비유동자산회전률,재고자산회전률,매출채권회전률,매입채무회전률,매입채무회전기간,재고자산회전기간,매출채권회전기간,1회전기간,운전자본회전률,순운전자본회전률,유형자산회전율,유동자산회전률,당좌자산회전률,부가가치,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,label
10,(주)고영테크놀러지,98460,2013-12-01,2008-06-03,,5,  기타 기계 및 장비 제조업,3.77,-4.65,17.62,2.2,21.88,17.89,17.03,-8.36,55.34,12.45,15.35,15.53,12.42,12495.79,1563.0,532.19,415.02,82.6,63.72,23.02,443.96,26.5,78.46,81.29,2190.86,1.0,1.23,4.34,5.79,3.78,12.62,28.92,63.04,96.68,0.01,0.0,1.09,7.37,1.3,1.67,31220.69,25.81,220.81,28279.87,27.9,43.86,56.14,44.63,0
11,(주)고영테크놀러지,98460,2014-12-01,2008-06-03,,5,  기타 기계 및 장비 제조업,27.65,34.62,-13.41,26.92,14.49,17.81,17.17,58.83,57.81,15.48,20.68,21.95,16.84,10630.89,1655.0,530.61,442.26,96.89,62.22,22.35,1673.12,28.55,76.66,81.74,1721.05,1.09,1.33,4.83,7.33,4.23,14.74,24.76,49.81,86.23,0.01,0.0,1.18,8.21,1.4,1.74,46699.29,32.95,233.98,65433.58,32.69,35.96,64.04,47.35,0
12,(주)골드앤에스,35290,2013-12-01,1999-12-07,,5,  출판업,-9.89,2289.15,18.51,40.97,-40.76,-48.56,-0.98,0.0,28.88,-42.57,-86.53,-12.36,-32.57,552.05,-224.0,52.99,42.48,0.6,-27.23,291.87,-3.83,271.57,30.7,25.52,28.22,0.77,2.05,1.3,13.69,6.81,44.21,8.26,26.66,53.63,0.01,0.0,0.85,3.22,1.86,2.16,1375.8,2.67,5.83,496.25,3.48,556.52,-456.52,-1223.83,1
13,(주)골프존뉴딘홀딩스,121440,2012-12-01,2011-05-20,,5,  도매 및 상품 중개업,34.22,278.98,202.37,168.83,-3.24,17.96,43.08,57.8,54.55,25.33,19.34,16.7,15.96,23579.65,5988.0,208.99,194.96,53.59,25.77,31.41,31.08,66.47,49.42,76.1,6702.54,0.63,0.76,1.54,24.26,28.11,48.35,7.55,15.05,12.99,0.05,0.25,0.83,2.31,1.07,1.11,121408.57,22.44,62.6,715.13,41.92,29.93,70.07,60.42,0
14,(주)골프존뉴딘홀딩스,121440,2013-12-01,2011-05-20,,5,  도매 및 상품 중개업,26.07,12.13,79.92,30.7,4.83,3.14,17.92,-96.19,48.79,0.77,0.67,14.84,0.48,9908.7,77.0,133.05,117.72,32.19,10.91,50.24,25.98,84.23,43.93,66.56,2304.23,0.62,0.87,1.16,14.54,26.82,43.35,8.42,25.11,13.61,0.03,0.0,0.82,1.74,1.33,1.47,104828.51,16.43,50.99,642.49,28.71,36.31,63.69,2.67,0
15,(주)골프존뉴딘홀딩스,121440,2014-12-01,2011-05-20,,5,  도매 및 상품 중개업,17.66,104.38,-5.3,63.67,-36.93,14.57,19.47,2726.3,48.94,18.44,17.4,15.3,11.32,11658.09,2156.0,91.84,75.96,29.5,-2.06,56.67,22.05,120.34,23.19,63.83,2639.88,0.61,0.94,0.91,13.67,27.89,46.07,7.92,26.71,13.09,0.03,0.0,1.0,1.27,1.88,2.18,165410.32,21.71,38.44,962.02,38.5,31.17,68.83,47.9,0
16,(주)광림,14200,2012-12-01,1993-07-07,,5,  자동차 및 트레일러 제조업,-19.88,0.49,10.83,-1.83,8.27,12.04,3.95,-77.3,59.34,12.93,16.74,16.17,11.13,44782.93,5792.0,147.28,136.36,20.71,9.67,52.27,1.71,106.41,30.11,65.67,7284.84,0.86,1.29,1.18,36.98,16.74,84.92,4.3,9.87,21.81,0.04,0.0,1.87,2.53,3.21,3.51,116051.83,33.34,107.38,324.79,41.29,34.35,65.65,31.3,0
17,(주)광림,14200,2013-12-01,1993-07-07,,5,  자동차 및 트레일러 제조업,21.24,0.3,-26.84,-3.13,24.21,2.04,13.17,178.1,51.47,22.69,18.74,22.18,17.15,17079.54,4131.0,1039.44,1018.12,122.56,60.31,7.22,6.18,35.68,66.72,93.26,5668.06,0.76,0.83,2.47,57.87,28.87,48.57,7.51,6.31,12.64,0.09,0.03,0.98,6.92,1.09,1.11,65510.64,17.55,133.48,1095.53,31.23,29.19,70.81,72.65,0
18,(주)광림,14200,2014-12-01,1993-07-07,,5,  자동차 및 트레일러 제조업,123.74,136.94,276.42,170.45,125.53,99.04,141.05,-56.29,24.19,-0.1,1.09,1.21,-0.1,12105.41,37.0,174.84,85.19,23.65,26.21,89.88,0.7,73.6,61.24,52.67,342.88,0.95,1.79,2.44,3.01,6.17,15.23,23.96,121.25,59.18,0.01,0.0,0.98,4.08,1.54,3.17,34136.72,13.94,60.16,509.15,14.75,82.26,17.74,-0.7,0
19,(주)광무,29480,2013-12-01,1996-08-27,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-50.13,-11.65,-32.89,-34.17,-39.8,-70.22,-36.57,0.0,-10.17,-139.87,-150.0,-29.47,-63.0,1089.16,-1897.0,66.23,42.61,2.46,-20.62,302.71,-8.2,239.8,40.45,24.83,93.21,0.45,1.07,0.77,3.23,3.08,3.95,92.37,112.98,118.6,0.01,0.42,0.51,1.75,1.08,1.62,-19191.93,-54.24,-173.98,-1147.53,-93.46,0.0,0.0,0.0,1
20,(주)구영테크,53270,2012-12-01,2002-02-07,,5,  자동차 및 트레일러 제조업,5.38,5.36,23.0,4.62,12.75,0.15,7.82,0.0,13.82,1.05,4.49,5.15,1.05,12114.35,136.0,57.4,41.13,4.5,-30.55,339.29,1.29,258.45,41.17,22.76,558.29,1.0,4.25,1.68,9.14,7.06,9.29,39.27,39.94,51.73,0.02,0.14,0.9,1.92,2.49,3.42,34066.87,21.14,43.07,84.74,21.87,55.25,44.75,4.79,0
