번호,시간,회사명,종목코드,공시제목,제출인
170,2012-12-31 18:02,한화SV스팩1호,124050,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
169,2012-12-27 18:08,트라이써클,034010,관리종목지정(불성실공시),코스닥시장본부
168,2012-12-20 18:40,케이엔씨글로벌,068150,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
167,2012-12-17 18:49,AD모터스,038120,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
166,2012-12-17 15:57,삼우이엠씨,026250,관리종목지정(회생절차 개시신청),코스닥시장본부
165,2012-12-14 18:36,휴먼텍코리아,066060,관리종목지정(회생절차 개시신청),코스닥시장본부
164,2012-12-13 18:30,네이처셀,007390,관리종목지정(불성실공시법인),코스닥시장본부
163,2012-12-13 18:25,엘컴텍,037950,관리종목지정사유추가(불성실공시),코스닥시장본부
162,2012-12-06 18:09,히든챔피언스팩1호,123160,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
161,2012-11-27 18:30,아큐텍,013780,관리종목지정(불성실공시),코스닥시장본부
160,2012-11-19 18:33,오리엔트정공,065500,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
159,2012-10-18 19:35,엘컴텍,037950,관리종목지정(회생절차 개시신청),코스닥시장본부
158,2012-10-12 18:34,큐리어스,045050,관리종목지정사유추가,코스닥시장본부
157,2012-10-10 18:37,미래에셋스팩1호,121950,관리종목지정사유추가,코스닥시장본부
156,2012-10-09 18:20,어울림 네트,042820,관리종목지정사유추가,코스닥시장본부
155,2012-09-20 17:31,와이오엠,066430,관리종목지정,코스닥시장본부
154,2012-09-20 07:08,메디콕스,054180,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
153,2012-09-18 19:12,SSCP,071660,관리종목지정(상장폐지 사유 발생),코스닥시장본부
152,2012-09-13 22:48,유아이에너지,050050,관리종목지정사유추가,코스닥시장본부
151,2012-09-13 18:33,웨스트라이즈,064090,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
150,2012-09-11 18:31,아큐텍,013780,관리종목 해제(시가총액 40억원 미달 30일 연속 사유 해소 ),코스닥시장본부
149,2012-09-10 18:38,미래에셋스팩1호,121950,관리종목지정(SPAC 상장예비심사청구서 미제출),코스닥시장본부
148,2012-08-31 19:19,디지텍시스템,091690,관리종목 해제(사업보고서(연결감사보고서) 미제출 사유 해소),코스닥시장본부
147,2012-08-31 19:16,디지텍시스템,091690,관리종목지정(사업보고서(연결감사보고서) 미제출),코스닥시장본부
146,2012-08-29 20:09,인스프리트,073130,관리종목지정사유추가,코스닥시장본부
145,2012-08-29 19:51,룽투코리아,060240,관리종목지정사유일부해제,코스닥시장본부
144,2012-08-29 19:51,소니드,060230,관리종목지정사유일부해제,코스닥시장본부
143,2012-08-29 19:47,동양텔레콤,007150,관리종목지정사유추가,코스닥시장본부
142,2012-08-29 19:29,이디디컴퍼니,052650,관리종목지정,코스닥시장본부
141,2012-08-29 18:34,성융광전투자,900150,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
140,2012-08-28 16:50,유일엔시스,038720,관리종목지정사유일부해제,코스닥시장본부
139,2012-08-24 19:16,어울림정보,038320,관리종목지정사유추가및일부해제,코스닥시장본부
138,2012-08-24 19:15,어울림엘시스,033280,관리종목지정사유추가및일부해제,코스닥시장본부
137,2012-08-24 19:15,어울림 네트,042820,관리종목지정사유일부해제,코스닥시장본부
136,2012-08-24 15:56,지앤에스티,036920,관리종목지정사유일부해제,코스닥시장본부
135,2012-08-17 17:59,디브이에스,046400,관리종목지정사유일부해제,코스닥시장본부
134,2012-08-17 09:10,GT&T,053870,[정정]관리종목 해제(사업보고서 미제출 사유 해소),코스닥시장본부
133,2012-08-14 22:55,GT&T,053870,[정정]관리종목지정(사업보고서 미제출),코스닥시장본부
132,2012-08-14 22:40,GT&T,053870,관리종목 해제(사업보고서 미제출 사유 해소 )[정],코스닥시장본부
131,2012-08-14 22:40,GT&T,053870,관리종목지정(사업보고서 미제출 )[정],코스닥시장본부
130,2012-08-14 20:15,아큐텍,013780,관리종목지정사유일부해제,코스닥시장본부
129,2012-08-14 20:14,무한투자,034510,관리종목지정사유추가,코스닥시장본부
128,2012-08-14 20:14,HLB이노베이션,024850,관리종목지정사유추가,코스닥시장본부
127,2012-08-14 20:12,엔터미디어,068420,관리종목지정사유추가,코스닥시장본부
126,2012-08-14 20:11,큐리어스,045050,관리종목지정사유추가,코스닥시장본부
125,2012-08-14 20:10,지아이바이오,035450,관리종목지정사유추가,코스닥시장본부
124,2012-08-14 20:09,프리젠,060910,관리종목지정사유추가,코스닥시장본부
123,2012-08-14 20:08,엔케이바이오,019260,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
122,2012-08-14 20:06,어울림 네트,042820,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
121,2012-08-14 20:05,어울림정보,038320,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
120,2012-08-14 20:05,어울림엘시스,033280,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
119,2012-08-14 20:04,에듀언스,009010,관리종목지정,코스닥시장본부
118,2012-08-14 20:04,티에스넥스젠,043220,관리종목지정,코스닥시장본부
117,2012-08-14 20:04,유아이에너지,050050,관리종목지정사유추가,코스닥시장본부
116,2012-08-13 18:41,오리엔탈정공,014940,관리종목지정,코스닥시장본부
115,2012-08-13 18:12,웨스트라이즈,064090,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복),코스닥시장본부
114,2012-08-01 18:15,금강제강,105070,관리종목지정(상장폐지사유발생),코스닥시장본부
113,2012-07-23 18:37,엔케이바이오,019260,관리종목지정(상장폐지사유 발생 ),코스닥시장본부
112,2012-07-10 18:57,신텍,099660,관리종목 해제(상장폐지사유 해소),코스닥시장본부
111,2012-06-21 18:16,디에이치패션,045260,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
110,2012-06-20 19:01,해피드림,065180,관리종목지정(상장폐지사유 발생 ),코스닥시장본부
109,2012-06-20 18:41,엔터미디어,068420,관리종목지정(불성실공시법인지정),코스닥시장본부
108,2012-06-13 18:10,무한투자,034510,관리종목지정사유추가,코스닥시장본부
107,2012-05-23 18:15,엔스퍼트,098400,관리종목지정사유추가,코스닥시장본부
106,2012-05-17 14:24,큐리어스,045050,관리종목지정,코스닥시장본부
105,2012-05-15 19:24,평안물산,037240,관리종목지정사유추가,코스닥시장본부
104,2012-05-14 18:35,엔스퍼트,098400,관리종목지정사유추가(파산신청),코스닥시장본부
103,2012-05-10 17:12,한림창투,021060,관리종목지정,코스닥시장본부
102,2012-05-04 18:33,디브이에스,046400,관리종목지정사유추가,코스닥시장본부
101,2012-05-02 18:36,아큐텍,013780,관리종목지정사유추가(시가총액 40억원 미달 30일 연속),코스닥시장본부
100,2012-04-30 22:31,성융광전투자,900150,관리종목지정(상장폐지사유발생),코스닥시장본부
99,2012-04-23 19:31,케이엔씨글로벌,068150,관리종목지정사유추가(상장폐지사유발생),코스닥시장본부
98,2012-04-23 19:29,클루넷,067130,관리종목지정사유추가(상장폐지 사유 발생),코스닥시장본부
97,2012-04-13 18:26,JH코오스,065310,관리종목지정,코스닥시장본부
96,2012-04-13 18:23,웨스트라이즈,064090,관리종목지정사유추가,코스닥시장본부
95,2012-04-13 17:46,비앤비성원,015200,관리종목지정사유추가(회생절차 개시신청 ),코스닥시장본부
94,2012-04-09 20:13,폴리플러스,065610,관리종목지정사유일부해제(사업보고서 미제출 사유 해소),코스닥시장본부
93,2012-04-09 19:25,보광티에스,066690,관리종목지정사유추가및일부해제,코스닥시장본부
92,2012-04-09 19:22,지아이바이오,035450,관리종목지정사유추가(불성실공시),코스닥시장본부
91,2012-04-09 19:20,평안물산,037240,관리종목지정사유일부해제,코스닥시장본부
90,2012-04-09 19:14,유아이에너지,050050,[정정]관리종목지정사유추가및일부해제,코스닥시장본부
89,2012-04-09 18:55,유아이에너지,050050,관리종목지정사유추가및일부해제[정],코스닥시장본부
88,2012-04-09 18:54,블루젬디앤씨,053040,관리종목지정사유일부해제,코스닥시장본부
87,2012-04-04 18:05,비앤비성원,015200,관리종목지정사유일부해제(사업보고서 미제출 사유 해소 ),코스닥시장본부
86,2012-04-03 18:07,평안물산,037240,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
85,2012-04-02 11:10,동양텔레콤,007150,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
84,2012-03-30 22:30,CT&T,050470,관리종목지정사유추가,코스닥시장본부
83,2012-03-30 22:27,미리넷,056710,관리종목지정사유추가,코스닥시장본부
82,2012-03-30 22:18,아이스테이션,056010,관리종목지정사유추가,코스닥시장본부
81,2012-03-30 22:16,대국,042340,관리종목지정사유추가,코스닥시장본부
80,2012-03-30 22:15,에이프로테크놀로지,045470,관리종목지정사유추가,코스닥시장본부
79,2012-03-30 22:05,에피밸리,068630,관리종목지정사유추가,코스닥시장본부
78,2012-03-30 21:52,유아이에너지,050050,관리종목지정사유추가,코스닥시장본부
77,2012-03-30 21:51,평안물산,037240,관리종목지정사유추가,코스닥시장본부
76,2012-03-30 21:50,보광티에스,066690,관리종목지정사유추가,코스닥시장본부
75,2012-03-30 21:50,엘앤씨피,015390,관리종목지정사유추가,코스닥시장본부
74,2012-03-30 21:49,코아에스앤아이,052350,관리종목지정사유추가,코스닥시장본부
73,2012-03-30 21:48,블루젬디앤씨,053040,관리종목지정사유추가,코스닥시장본부
72,2012-03-30 19:16,아인스M&M,040740,관리종목지정사유추가(사업보고서 미제출 등),코스닥시장본부
71,2012-03-30 19:16,비앤비성원,015200,관리종목지정사유추가(사업보고서 미제출 등),코스닥시장본부
