회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),총자본정상영업이익률(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 총자본비율(IFRS),총자본회전률(IFRS),자기자본회전률(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS)
(주)그래디언트,35080,2014/12,-2.35,-3.68,8.07,0.03,-9.82,-0.77,0.02,0.02,1.3,1311.33
(주)글로벌스탠다드테크놀로지,83450,2011/12,-11.99,38.76,5.66,6.77,0.52,0.24,0.95,1.62,27.81,338.19
(주)글로벌스탠다드테크놀로지,83450,2012/12,54.38,-1.34,8.61,12.48,19.44,6.21,1.27,2.1,43.98,139.82
(주)글로벌스탠다드테크놀로지,83450,2013/12,25.72,16.32,6.43,11.59,12.47,3.91,1.49,2.18,38.25,139.19
(주)글로벌스탠다드테크놀로지,83450,2014/12,8.97,10.98,7.15,10.59,32.47,9.07,1.43,2.03,38.29,163.5
(주)금화피에스시,36190,2011/12,-15.27,14.14,18.35,18.62,75.51,14.29,0.94,1.17,60.21,440.56
(주)금화피에스시,36190,2012/12,30.8,12.01,17.08,20.49,102.82,12.85,1.08,1.28,68.09,511.84
(주)금화피에스시,36190,2013/12,44.73,28.15,13.52,21.39,46.6,7.58,1.3,1.52,76.23,704.14
(주)금화피에스시,36190,2014/12,6.59,8.27,12.36,16.35,44.45,5.92,1.19,1.39,80.96,721.12
(주)기산텔레콤,35460,2011/12,-42.86,-13.69,-24.34,-11.39,0.35,0.16,0.57,0.99,-7.37,-966.81
(주)기산텔레콤,35460,2012/12,35.53,-21.59,2.91,7.3,30.91,8.41,0.93,1.48,10.96,970.1
(주)기산텔레콤,35460,2013/12,-1.77,22.9,4.24,4.01,21.81,8.06,0.93,1.38,8.75,849.19
(주)기산텔레콤,35460,2014/12,-13.96,-5.19,1.58,0.42,13.28,4.37,0.75,1.15,5.88,632.75
(주)나노신소재,121600,2011/12,20.34,46.81,14.06,7.35,12.67,2.58,0.55,0.8,16.66,56.08
(주)나노신소재,121600,2012/12,-29.38,-6.28,-5.7,-0.85,-3.95,-0.68,0.33,0.41,12.3,39.74
(주)나노신소재,121600,2013/12,13.46,-1.26,4.21,2.0,16.86,2.41,0.39,0.47,15.2,54.72
(주)나노신소재,121600,2014/12,4.1,6.04,13.37,5.23,15.78,2.22,0.4,0.47,20.18,78.21
(주)나노엔텍,39860,2011/12,-13.3,37.62,-90.67,-18.19,-25.42,-10.59,0.3,0.45,-13.14,-68.58
(주)나노엔텍,39860,2012/12,3.62,-11.26,-47.32,-9.65,-19.72,-9.52,0.29,0.52,-2.76,-11.04
(주)나노엔텍,39860,2013/12,40.63,4.22,1.75,2.4,1.76,0.81,0.42,0.79,12.53,46.01
(주)나노엔텍,39860,2014/12,6.21,-0.29,-5.79,0.56,16.46,2.76,0.44,0.64,10.17,39.66
(주)나이벡,138610,2011/12,-48.72,34.78,-67.9,-12.9,-3.21,-1.31,0.18,0.45,-2.36,-5.31
(주)나이벡,138610,2012/12,43.42,-5.41,-36.3,-4.76,-6.08,-2.81,0.23,0.4,5.66,12.68
(주)나이벡,138610,2013/12,-41.38,3.61,-169.45,-15.74,-8.51,-5.61,0.14,0.31,-2.23,-4.95
(주)나이벡,138610,2014/12,110.66,-17.04,-75.65,-19.39,-14.99,-9.61,0.31,0.88,-1.51,-3.02
(주)나이스디앤비,130580,2011/12,7.05,59.78,14.23,15.51,69.31,12.86,0.95,1.21,12.61,1025.99
