회사명,거래소코드,회계년도,매출액증가율(IFRS),매출액순이익률(IFRS),총자본투자효율(IFRS),CASH FLOW 대 부채비율(IFRS),총자본회전률(IFRS)
(주)유성티엔에스,024800,2012/12,-1.63,-0.69,10.96,3.2,1.17
(주)유신,054930,2012/12,-16.6,-3.86,61.73,-3.92,1.06
(주)유아이디,069330,2012/12,-0.11,21.46,45.76,56.57,1.08
(주)유진로봇,056080,2012/12,-3.07,-13.67,8.44,-16.34,0.66
(주)유진테크,084370,2012/12,28.63,30.35,47.1,133.6,1.13
(주)율호,072770,2012/12,-16.71,12.43,21.5,30.99,0.31
(주)이건홀딩스,039020,2012/12,9.94,-0.15,11.11,-1.74,0.58
(주)이글루코퍼레이션,067920,2012/12,29.56,7.88,33.3,13.87,0.87
(주)이글벳,044960,2012/12,-5.52,4.59,16.25,1.31,0.72
(주)이노와이어리스,073490,2012/12,8.03,17.16,17.44,134.36,0.74
(주)이녹스,088390,2012/12,23.29,8.81,27.03,17.13,1.03
(주)이라이콤,041520,2012/12,9.13,5.54,19.85,8.83,2.36
(주)이랜텍,054210,2012/12,19.37,1.21,11.29,-12.44,1.88
(주)이루온,065440,2012/12,-44.71,-24.22,2.72,16.05,0.37
(주)이미지스테크놀로지,115610,2012/12,-2.41,1.53,11.22,17.08,0.47
(주)이브이첨단소재,131400,2012/12,-7.39,2.3,18.5,20.33,1.24
(주)이상네트웍스,080010,2012/12,-31.66,6.44,11.09,120.46,0.55
(주)이수앱지스,086890,2012/12,8.91,-114.18,0.19,-25.13,0.21
(주)이스트소프트,047560,2012/12,-13.85,-3.45,20.11,8.18,0.33
(주)이엔에프테크놀로지,102710,2012/12,41.82,7.68,28.43,31.14,1.71
(주)이엔코퍼레이션,066980,2012/12,-12.29,-24.48,-7.9,-22.93,0.8
(주)이엠넷,123570,2012/12,17.19,15.34,12.22,25.03,0.63
(주)이엠앤아이,083470,2012/12,-11.8,3.25,19.91,1.93,1.04
(주)이엠텍,091120,2012/12,152.55,6.46,33.27,26.02,2.73
(주)이오테크닉스,039030,2012/12,38.36,12.95,15.1,-2.65,0.75
(주)이지,037370,2012/12,43.47,9.12,17.32,34.79,0.89
(주)이지홀딩스,035810,2012/12,33.53,11.35,11.71,2.3,0.43
(주)이크레더블,092130,2012/09,4.02,30.85,22.28,185.82,0.65
(주)이퓨쳐,134060,2012/12,-4.36,0.56,17.03,21.45,0.39
(주)인바디,041830,2012/12,-2.49,18.61,21.37,877.74,0.53
(주)인성정보,033230,2012/12,22.61,1.88,14.42,-3.96,1.29
(주)인지디스플레이,037330,2012/12,-44.04,14.82,27.75,61.54,0.68
(주)인지소프트,100030,2012/12,0.34,19.35,29.02,174.06,0.36
(주)인콘,083640,2012/12,36.25,8.97,27.42,40.1,1.03
(주)인터로조,119610,2012/12,22.79,28.79,31.51,46.05,0.57
(주)인터플렉스,051370,2012/12,47.83,7.11,16.6,1.89,1.12
(주)인텍플러스,064290,2012/12,-7.11,11.48,24.99,20.99,0.59
(주)인트론바이오테크놀로지,048530,2012/12,-4.43,-14.49,18.33,-1.01,0.41
(주)인포바인,115310,2012/12,7.16,60.19,31.11,345.05,0.38
(주)인피니트헬스케어,071200,2012/12,-7.49,-12,16.79,33.37,0.63
(주)일신바이오베이스,068330,2012/12,35.59,12.67,15.85,11.83,0.45
(주)일지테크,019540,2012/12,45.81,16.45,35.06,10.91,0.91
(주)일진파워,094820,2012/12,6.43,0.39,28.4,-4.07,1.24
(주)잉크테크,049550,2012/12,42.4,2.41,20.75,-5.33,0.81
(주)자연과환경,043910,2012/12,25.1,-15.18,3.53,-14.12,0.6
(주)정상제이엘에스,040420,2012/12,-8.19,11.36,35.92,104.5,1.15
(주)정원엔시스,045510,2012/12,-22.91,0.41,15.65,5.16,2.05
(주)제넥신,095700,2012/12,134.91,-35.79,6.54,-8.06,0.12
(주)제넨바이오,072520,2012/12,41.87,-0.54,20.49,15.41,1.65
(주)제닉,123330,2012/12,-18.43,7.14,27.76,146.2,1.45
(주)제우스,079370,2012/12,-50.48,2.1,19.92,32.79,0.79
(주)제이브이엠,054950,2012/12,3.09,7.76,19.08,-6.5,0.44
(주)제이스텍,090470,2012/12,-21.35,11.75,33.06,33.43,0.89
(주)제이에스티나,026040,2012/12,28.39,5.99,29.39,9.1,1.33
(주)제이와이피엔터테인먼트,035900,2012/12,0,-63.43,-21.88,-37.63,0.52
(주)제이티,089790,2012/12,6.55,1.85,40.75,38.32,1.96
(주)제일바이오,052670,2012/12,44.03,2.78,19.19,-8.84,1.72
(주)제일테크노스,038010,2012/12,11.84,0.86,22.54,10.3,1.39
(주)제주반도체,080220,2012/12,-65.1,-35.75,-12.28,254.28,0.49
(주)젬백스&카엘,082270,2012/12,32.77,14.11,9.19,13.02,0.27
(주)젬백스링크,064800,2012/12,-18.89,-3.14,29.45,5.87,0.63
(주)조이시티,067000,2012/12,53.33,11.47,31.56,88.6,0.75
(주)좋은사람들,033340,2012/12,6.79,2.07,26.7,-8.19,1.17
(주)중앙백신연구소,072020,2012/12,23.57,22.69,20.96,75.38,0.41
(주)중앙에너비스,000440,2012/09,-7.13,1.76,16.42,13.23,1.82
(주)중앙첨단소재,051980,2012/12,15.35,6.55,11.01,-30.08,0.68
(주)지니뮤직,043610,2012/12,-3.79,-6.62,-3.54,4.49,0.65
(주)지어소프트,051160,2012/12,-46.4,-3.6,38,-14.59,0.75
(주)지에스이,053050,2012/12,15.84,3.26,11.82,13.55,1.01
(주)지엔코,065060,2012/12,7.59,6.95,12.93,17.99,0.84
(주)진로발효,018120,2012/12,6.24,19.18,41.75,89.82,0.89
(주)진매트릭스,109820,2012/12,-2.56,-36.81,-0.51,-16.28,0.29
(주)진바이오텍,086060,2012/12,49.03,1.86,10.6,1.69,0.88
(주)진성티이씨,036890,2012/12,-3.72,3.53,9.76,-1.02,0.68
(주)차바이오텍,085660,2012/12,36.97,2.62,5.22,22.46,0.39
(주)초록뱀미디어,047820,2012/12,72.92,5.36,100.7,-213.28,1.04
(주)카스,016920,2012/12,6.16,0.6,18.55,2.32,1
(주)캠시스,050110,2012/12,29.2,-0.59,4.3,-23.82,1.54
(주)커넥트웨이브,119860,2012/12,17.57,23.35,24.37,100.78,0.5
(주)컴투스,078340,2012/12,90.39,34.56,36.68,170.49,0.67
(주)컴투스홀딩스,063080,2012/12,40.15,38.08,33.88,207.39,0.62
(주)케스피온,079190,2012/12,-17.66,-13.91,7.43,-8.46,0.44
(주)케이바이오컴퍼니,038530,2012/12,-6.64,2.43,16.6,-20.15,0.37
(주)케이씨씨건설,021320,2012/12,8.74,0.54,9.89,-5.14,1.14
(주)케이씨아이,036670,2012/12,11.87,6.27,16.96,5.32,0.57
(주)케이씨에스,115500,2012/12,46.74,7.31,21.3,71.37,1.17
(주)케이씨티,089150,2012/12,39.15,7.63,18.46,46.66,1.12
(주)케이씨피드,025880,2012/12,18.8,4.71,11.17,-1.8,1.06
(주)케이아이엔엑스,093320,2012/12,28.01,13.33,38.56,249.33,0.75
(주)케이알엠,093640,2012/12,12.91,1.86,39.42,-2.05,2.34
(주)케이에스피,073010,2012/12,-16.71,0.81,9.09,-19.99,0.59
(주)케이에이치바텍,060720,2012/12,-13.33,3.28,13.86,31.79,0.85
(주)케이엑스이노베이션,122450,2012/12,56.66,21.15,20.97,73.61,0.66
(주)케이엑스하이텍,052900,2012/12,13.2,-1.59,16.32,14.59,1.02
(주)케이엔더블유,105330,2012/12,-44.2,-9.47,6.07,7.65,0.53
(주)케이엔엔,058400,2012/12,1.72,45.47,28.42,40.05,0.33
(주)케이엘넷,039420,2012/12,-8.2,-1.48,25.68,61.85,0.88
(주)케이엠,083550,2012/12,16.09,1.53,14.82,2.62,1.11
(주)케이엠더블유,032500,2012/12,115.45,9.87,29.96,7.42,1.21
(주)케이지모빌리언스,046440,2012/12,15.35,16.32,11.6,-2.69,0.49
(주)케이지이니시스,035600,2012/12,21.85,10.39,15.37,3.13,1
(주)케이티알파,036030,2012/12,-2.89,-8.31,17.1,-21.44,0.65
(주)케이프,064820,2012/12,-30.2,11.97,9.58,6.05,0.14
(주)케이피에프,024880,2012/12,12.22,3.94,13.22,-2.17,0.99
(주)케이피엠테크,042040,2012/12,-35.43,-39.28,-14.8,0.8,0.68
(주)케이피티유,054410,2012/12,6.18,1.3,8.35,5.02,0.33
(주)켐트로닉스,089010,2012/12,2.97,7.04,23.13,18.13,1.45
(주)코다코,046070,2012/12,8.91,1.69,19.96,2.34,1.13
(주)코데즈컴바인,047770,2012/12,-6.86,-8.01,17.82,-9.3,1
(주)코디,080530,2012/12,-36.21,-26.64,-1.15,-0.88,0.33
(주)코리아나화장품,027050,2012/12,-6.48,8.04,33.05,41.47,0.87
(주)코맥스,036690,2012/12,-4.6,7.49,22.72,28.15,1.1
(주)코메론,049430,2012/12,-1.83,13.9,13.12,56.07,0.49
(주)코미팜,041960,2012/12,12.94,1.3,9.49,-12.14,0.3
(주)코세스,089890,2012/12,4.57,8.26,44.76,16.77,1.6
(주)코센,009730,2012/12,-19.89,-12.26,1.18,-1.13,1.18
(주)코스나인,082660,2012/12,137.79,-6.28,4.63,-14.62,0.87
(주)코아시아,045970,2012/12,9.35,24.16,0.38,66.38,0.02
(주)코엔텍,029960,2012/12,19.75,25.41,24.92,123.62,0.43
(주)코이즈,121850,2012/12,29.03,19.71,38.85,62.96,0.89
(주)코콤,015710,2012/12,2.83,4.12,11.02,11.89,0.87
(주)코텍,052330,2012/12,1.56,10.63,21.45,89.95,0.95
(주)큐로컴,040350,2012/12,-13.55,7.99,4.65,6.01,0.11
(주)큐로홀딩스,051780,2012/12,-3.6,-26.53,0.3,-1.69,0.16
(주)큐에스아이,066310,2012/12,-1.66,7.99,18.59,79.04,0.59
(주)크레버스,096240,2012/12,-6.58,9.75,10.87,105.57,1.04
(주)크린앤사이언스,045520,2012/12,4.82,2.2,22.65,11.04,1.18
(주)클라우드에어,036170,2012/12,213.6,11.09,17,12.27,0.8
(주)키이스트,054780,2012/12,-8.59,13.92,19.63,34.77,0.84
(주)탑엔지니어링,065130,2012/12,-55.63,3.42,7.98,17.9,0.32
(주)태광,023160,2012/12,37.85,9.3,16.39,45.46,0.82
(주)태양,053620,2012/12,10.93,3.9,15.86,26.82,1.29
(주)태웅,044490,2012/12,-12.31,1.97,5.59,25.97,0.59
(주)테라젠이텍스,066700,2012/12,-25.96,-18.55,6.15,-15,0.55
(주)테스,095610,2012/12,-1.12,2.26,20.12,27.23,0.78
(주)테크엘,064520,2012/12,3.19,-3.51,13.18,12.6,2.07
(주)테크윙,089030,2012/12,-10.69,11.7,21.09,16.43,0.77
(주)텔레칩스,054450,2012/12,2.81,0.95,10.68,18.31,0.68
(주)텔레필드,091440,2012/12,1.85,3.36,14.51,40.4,0.7
(주)토비스,051360,2012/12,11.65,2.38,21.14,19.92,2.75
(주)토탈소프트뱅크,045340,2012/12,-3.95,-28.95,23.96,6.41,0.63
(주)톱텍,108230,2012/12,-26.17,6.07,14.63,-6.28,1
(주)투비소프트,079970,2012/12,24.83,11.02,77.97,61.09,1.23
(주)특수건설,026150,2012/12,28.06,1.04,43.24,-0.46,1.06
(주)티비씨,033830,2012/12,-2.18,12.08,22.93,152.75,0.36
(주)티사이언티픽,057680,2012/12,-9.61,-26.35,17.25,-25.32,0.46
(주)티씨케이,064760,2012/12,-17.89,13.95,24.28,91.92,0.56
(주)티에스넥스젠,043220,2012/12,-86.23,-204,-49.48,-25.58,0.33
(주)티에스이,131290,2012/12,-37.86,4.51,20.17,207.45,0.48
(주)티엔엔터테인먼트,131100,2012/12,-7.27,1.75,13.91,14.49,0.71
(주)티엘아이,062860,2012/12,23.07,-5.57,3.43,61.58,0.57
(주)티케이케미칼,104480,2012/12,-14.77,-3.34,10.04,-6.64,1.76
(주)티플랙스,081150,2012/12,-13.99,1.97,5.48,-1.04,0.98
(주)티피씨,130740,2012/12,2.24,8.34,18.42,30.94,0.89
(주)티피씨메카트로닉스,048770,2012/06,-12.66,3.99,29.13,13.64,1.1
(주)파라다이스,034230,2012/12,12.16,14.51,23.03,36.82,0.54
(주)파라텍,033540,2012/12,-19.99,0.17,37.94,18.44,1.08
(주)파루,043200,2012/12,89.76,-16.38,2.69,-18.66,0.91
(주)파세코,037070,2012/12,5.41,3.89,20.42,12.7,1.14
(주)파워로직스,047310,2012/12,-10.97,3.54,12.54,2.51,1.38
(주)파인디앤씨,049120,2012/12,-50.41,-11.18,8.89,0.82,0.61
(주)파인디지털,038950,2012/12,36.85,11.66,19.69,60.93,1.06
(주)파인테크닉스,106240,2012/12,31.97,0.34,17.57,-2.78,1.03
(주)파커스,065690,2012/12,8.31,3.03,15.11,-0.52,0.83
(주)파트론,091700,2012/12,117.13,8.7,28.51,31.57,2.37
(주)팜스토리,027710,2012/12,1.49,3.27,11.84,-2.36,1.38
(주)팬스타엔터프라이즈,054300,2012/12,-0.25,-8.57,9.48,4.89,1.12
(주)팬엔터테인먼트,068050,2012/12,18.51,0.35,8.33,-1.05,0.66
(주)포메탈,119500,2012/12,-23.42,8.75,20.84,23.25,0.91
(주)포스코디엑스,022100,2012/12,3.51,3.94,34.95,13.79,1.37
(주)포스코엠텍,009520,2012/12,2.68,2.38,25.26,3.13,1.88
(주)폴라리스오피스,041020,2012/12,39.99,17.97,36.09,92.24,0.45
(주)폴라리스우노,114630,2012/12,19.66,7.21,17.57,40.56,0.97
(주)푸드웰,005670,2012/12,10.56,1.83,17.48,4.52,0.86
(주)푸른기술,094940,2012/12,-5.36,10.57,25.29,26.94,0.92
(주)프럼파스트,035200,2012/12,12.94,3.08,16.98,1.91,1.1
(주)프로텍,053610,2012/12,43.23,18.82,31.85,117.96,0.92
(주)프리엠스,053160,2012/12,21.43,8.5,24.29,58.96,1.1
(주)플래스크,041590,2012/12,29.75,7.56,26.37,25.55,2.11
(주)플랜티넷,075130,2012/12,-3.53,39.08,-2.66,187.67,0.21
(주)플레이위드,023770,2012/12,0.43,-137.43,-4.69,-1.44,0.13
(주)피델릭스,032580,2012/12,10.55,2.53,20.24,35.05,1.64
(주)피씨디렉트,051380,2012/12,-0.02,0.76,17.54,14.49,5.42
(주)피에이치씨,057880,2012/12,-28.7,-32.1,-8.15,15.09,0.42
(주)피엔티,137400,2012/12,-28.43,10.17,15.46,14.49,0.83
(주)피엔풍년,024940,2012/12,6,1.23,28.44,2.71,1.48
(주)피제이메탈,128660,2012/12,-13.75,3.69,25.17,19.39,2.34
(주)피제이전자,006140,2012/12,8.83,8.58,25.03,28.76,1.18
(주)하림,136480,2012/12,0,0.64,19.96,-8.22,1.38
(주)하이드로리튬,101670,2012/12,-11.86,12.66,4.78,15.65,0.47
(주)하이비젼시스템,126700,2012/12,0,17.73,28.48,11.07,1.14
(주)하이소닉,106080,2012/12,-2.68,7.72,23.22,43.75,1.07
(주)하이텍팜,106190,2012/12,-22.23,14.28,15.14,181.38,0.64
(주)하츠,066130,2012/12,7.07,-4.29,9.2,24.76,0.89
(주)한국가구,004590,2012/12,-11.09,12.48,6.1,2.62,0.14
(주)한국경제티브이,039340,2012/12,-3.44,7.6,8.46,78.43,0.92
(주)한국큐빅,021650,2012/12,-15.9,15.95,19.42,135.55,0.39
(주)한국테크놀로지,053590,2012/12,10.08,-155.36,-9.94,11.85,0.13
(주)한국팩키지,037230,2012/12,-13.91,1.19,19.19,27.32,0.97
(주)한글과컴퓨터,030520,2012/12,15.03,18,26.11,228.39,0.49
(주)한네트,052600,2012/12,-12.56,1.91,23.32,32.26,0.56
(주)한빛소프트,047080,2012/12,-10.88,-7.55,27.91,-4.9,0.65
(주)한일진공,123840,2012/12,,,,,
(주)한컴위드,054920,2012/12,-16.19,1.3,6.32,4.1,0.28
(주)한탑,002680,2012/12,-0.45,3.72,8.97,0.18,0.67
(주)헬릭스미스,084990,2012/12,2.18,-119.23,-3.06,-81.52,0.06
(주)현대바이오랜드,052260,2012/12,7.19,14.16,24.82,29.09,0.53
(주)현대에버다임,041440,2012/12,27.64,6.18,19.5,7.48,1.16
(주)형지아이앤씨,011080,2012/12,-2.6,-16.27,-9.09,-7.24,1.44
(주)홈센타홀딩스,060560,2012/12,-8.13,4.58,12.07,-9.26,0.62
(주)홈캐스트,064240,2012/12,-40.23,-1.93,2.94,31.97,1.12
(주)화신정공,126640,2012/12,68.92,3.35,16.73,18.14,1.73
(주)휴림에이텍,078590,2012/12,-7.85,2.38,31.45,8.72,2.11
(주)휴맥스,115160,2012/12,1.27,1.07,10.75,5.7,1.26
(주)휴맥스홀딩스,028080,2012/12,0.41,108.58,1.14,207.14,0.02
(주)휴비츠,065510,2012/12,11.8,15.23,28.95,56.95,0.9
(주)휴온스글로벌,084110,2012/12,7.9,5.2,23.92,24.02,0.78
(주)흥국,010240,2012/12,-11.75,3.62,16.92,22.42,0.97
(주)희림종합건축사사무소,037440,2012/12,7.63,0.71,50.1,-11.03,1.19
KB오토시스(주),024120,2012/12,7.38,5.11,26.26,11.6,1.16
KD(주),044180,2012/12,-18.79,-172.93,-100.52,5.5,0.46
가온그룹(주),078890,2012/12,57.44,2.86,14.12,-7.16,1.46
감성코퍼레이션(주),036620,2012/12,-49.05,-14.64,1.1,-14.68,0.18
갤럭시아머니트리(주),094480,2012/12,-4.78,1.24,11.8,-20.63,0.42
경남스틸(주),039240,2012/12,-7.32,2.02,14.47,6.57,2.61
경남제약(주),053950,2012/12,-9.25,0.01,16.28,10.72,0.5
경동제약(주),011040,2012/12,-3.75,6.49,26.21,72.62,0.66
경창산업(주),024910,2012/12,4.88,2.34,26.36,17.83,1.08
고려신용정보(주),049720,2012/12,1.79,1.24,146.93,26.26,4.38
고려제약(주),014570,2012/12,-5.68,3.43,20.24,18.79,0.66
광진실업(주),026910,2012/12,-5.3,1.59,18.3,12.54,1.31
국일제지(주),078130,2012/12,-1.36,-10.11,5.09,3.83,0.64
그린생명과학(주),114450,2012/12,-1.76,4.48,14.46,30.44,0.74
글로벌에스엠테크리미티드,900070,2012/12,,,,,
글로본(주),019660,2012/03,,,,,
금강철강(주),053260,2012/12,-11.38,2.84,11.7,23.52,2.06
나노캠텍(주),091970,2012/12,15.1,2.56,11.71,5.52,0.9
나라엠앤디(주),051490,2012/12,10.25,4.5,22.09,14.4,0.9
나이스정보통신(주),036800,2012/12,18.61,5.89,24.63,24.94,1.35
남화토건(주),091590,2012/12,-0.58,5.52,12.26,13.07,0.78
대동금속(주),020400,2012/12,-9.66,0.37,22.99,4.19,1.15
대동기어(주),008830,2012/12,-13,-2.51,12.93,-1.03,0.99
대봉엘에스(주),078140,2012/12,12.1,6.18,13.31,8.12,0.99
대아티아이(주),045390,2012/12,-18.31,5.51,17.39,29.32,0.55
대양전기공업(주),108380,2012/12,27.84,10.17,23.26,32.94,0.89
대양제지공업(주),006580,2012/12,-15.04,7.25,17.52,17.63,0.86
대원미디어(주),048910,2012/12,-23.25,2.52,13.54,7.12,0.45
대원산업(주),005710,2012/12,11.56,4.93,29.93,27.23,2.24
대정화금(주),120240,2012/12,-1.53,6.6,16.5,51.04,0.8
대주산업(주),003310,2012/12,0.5,-0.14,6.94,-6.79,1.07
대주전자재료(주),078600,2012/12,-23.66,7.82,18.07,12.69,0.8
대한광통신(주),010170,2012/12,52.47,-4.4,8.87,9.07,0.51
대한그린파워(주),060900,2012/12,-10.87,-21.3,-5.45,12.31,0.65
대한뉴팜(주),054670,2012/12,7.83,-11.52,22.3,3.13,0.38
대한약품공업(주),023910,2012/12,13.31,7.53,36.09,16.26,1.01
대화제약(주),067080,2012/12,-2.99,3.79,20.19,17,0.54
더라미(주),032860,2012/12,10.42,-7.66,-2.66,-16.76,1.64
더이앤엠(주),089230,2012/12,18.92,-3.38,8.52,-2.4,0.57
덕산하이메탈(주),077360,2012/12,11.12,29.15,35.51,275.29,0.82
도이치모터스(주),067990,2012/12,15.22,0.86,25.96,-0.96,3.21
동국산업(주),005160,2012/12,-7.17,1.88,6.64,8.63,0.63
동국제약(주),086450,2012/12,12.45,12.38,33.51,35.22,0.97
동신건설(주),025950,2012/12,-8.9,5.59,9.64,-24.24,0.51
동아화성(주),041930,2012/12,1.39,4.5,22.02,11.54,1.33
동양이엔피(주),079960,2012/12,13.51,5.4,21.15,54.14,2.24
동일금속(주),109860,2012/12,8.07,14.92,21.12,80.78,1.1
동일철강(주),023790,2012/12,-20.51,-5.76,5.69,14.19,0.95
동화기업(주),025900,2012/12,111.23,3.45,2.06,-1.99,0.06
디와이피엔에프(주),104460,2012/12,4.74,6.02,15.06,17.38,0.71
디젠스(주),113810,2012/12,-8,1.92,29.02,3.13,1.27
디케이락(주),105740,2012/12,-6.95,16.06,22.87,25.93,0.63
라온시큐어(주),042510,2012/12,57.19,17.59,28,-11.44,0.54
로체시스템즈(주),071280,2012/12,-28.43,1.65,19.34,26.08,0.75
리노공업(주),058470,2012/12,13.89,33.05,38.47,266.53,0.62
매일홀딩스(주),005990,2012/12,11.43,1.54,26.87,12.38,1.75
메가스터디(주),072870,2012/12,-13.83,21.25,21.47,82.43,0.55
메디앙스(주),014100,2012/12,-2.64,0.4,17.39,-2.56,2.04
메디포스트(주),078160,2012/12,11.27,7.67,2.95,-22.06,0.22
무림에스피(주),001810,2012/12,-3.37,6.57,14.22,14.05,0.61
미래나노텍(주),095500,2012/12,17.53,6.68,21.41,26.51,1.03
바이온(주),032980,2012/06,-19.53,0.81,18.98,-37.09,0.6
베뉴지(주),019010,2012/12,-19.97,-24.05,-2.41,-7.28,0.2
보성파워텍(주),006910,2012/12,40.18,1.02,13.94,-6.68,1.18
비에이치아이(주),083650,2012/12,109.57,5.18,13.34,-10.89,1.05
빛샘전자(주),072950,2012/12,-3.02,9.63,22.87,78.31,0.86
삼륭물산(주),014970,2012/12,16.56,8.01,12.79,12.22,0.53
삼목에스폼(주),018310,2012/12,14.72,3.42,21.93,45.88,1.05
삼보모터스(주),053700,2012/12,17.98,1.7,24.25,12.7,1.53
삼보산업(주),009620,2012/12,-1.94,0.8,11.85,2.85,2.14
삼아제약(주),009300,2012/12,-0.5,21.12,17.69,52.15,0.4
삼영엠텍(주),054540,2012/12,-1.36,9.19,18.83,29.76,0.91
삼영이엔씨(주),065570,2012/12,-1.34,17.62,24.35,44.62,0.64
삼지전자(주),037460,2012/12,13.22,5.41,12.87,2.02,0.8
삼천당제약(주),000250,2012/12,-1.18,1.75,23.14,35.66,0.76
삼천리자전거(주),024950,2012/12,21.38,7.03,21.27,14.17,1.19
삼현철강(주),017480,2012/12,16.47,3.43,12.23,25,1.49
상신이디피(주),091580,2012/12,-12.05,2.1,23.34,17.99,1.13
서암기계공업(주),100660,2012/12,-11.24,13.36,26.43,90.65,0.67
서울반도체(주),046890,2012/12,15.66,1.06,11.9,8.09,0.98
서울전자통신(주),027040,2012/12,-16.42,-113.15,-11.84,8.2,0.15
서호전기(주),065710,2012/12,14.99,3.48,10.89,67.31,0.5
성우전자(주),081580,2012/12,3.44,3.97,12.96,21.96,1.1
성우테크론(주),045300,2012/12,6.47,0.9,24.8,5.45,0.45
성호전자(주),043260,2012/12,-22.39,0.82,5.28,7.16,0.77
세명전기공업(주),017510,2012/12,-3.9,20.98,11.77,35.03,0.29
세종텔레콤(주),036630,2012/12,-26.45,-2.33,17.12,-2.73,1.21
소니드(주),060230,2012/12,21.09,6.61,25.18,-2.27,0.91
솔브레인홀딩스(주),036830,2012/12,27.77,10.44,35.49,52.88,1.31
시그네틱스(주),033170,2012/12,11.95,5.12,22.4,47.83,1.15
신라섬유(주),001000,2012/12,-21.19,13.95,5.15,0.12,0.17
신라에스지(주),025870,2012/12,57.05,0.92,21.43,-7.46,1.58
신성델타테크(주),065350,2012/12,-13.04,3.68,18.01,3.11,0.77
신원종합개발(주),017000,2012/12,-31.46,2.37,8.08,-27.84,0.69
신일제약(주),012790,2012/12,18.33,11.13,30.73,88.13,0.65
신화인터텍(주),056700,2012/12,-13.5,-3.37,14.63,29.4,0.91
쌍용정보통신(주),010280,2012/12,-12.98,2.38,26.67,-0.92,1.72
씨비아이(주),013720,2012/12,-3.01,7.24,26.48,17.2,0.8
씨앤티85(주),056730,2012/12,-56.36,-19.63,1.16,12.92,0.37
씨제이프레시웨이(주),051500,2012/12,16.42,0.53,16.16,4.54,3.45
씨지인바이츠(주),083790,2012/12,7.76,-315.59,-13.84,-20.48,0.06
씨큐브(주),101240,2012/12,13.07,8.27,22.08,10.49,0.53
아비코전자(주),036010,2012/12,-5.71,-8.81,5.9,9.96,0.54
아이크래프트(주),052460,2012/12,23.45,6.5,31.12,86,1.54
아이텍(주),119830,2012/12,-9.84,-8.72,29.91,20.98,0.4
안국약품(주),001540,2012/12,8.03,3.06,19.2,4.04,0.81
알서포트(주),131370,2012/12,,,,,
애머릿지코퍼레이션,900100,2012/12,-20.2,-9.64,1.58,-3.47,1.4
어보브반도체(주),102120,2012/12,14.84,6.24,13.49,37.32,0.87
에스넷시스템(주),038680,2012/12,-26.03,2.96,19.47,10.87,1.08
에스디엔(주),099220,2012/12,-80.04,-76.87,-9.37,13.05,0.2
에스비더블유생명과학(주),151910,2012/12,124.36,5.55,17.17,0.42,1.4
에스씨아이평가정보(주),036120,2012/12,-9.91,0.86,83.33,36.79,2.14
에스엔유프리시젼(주),080000,2012/12,-42.88,-59.33,-5.39,-1.33,0.31
에스엔케이폴리텍(주),091340,2012/12,-9.93,0.15,10.98,25.96,0.3
에스유홀딩스(주),031860,2012/12,-54.05,-96.96,-6.82,-27.75,0.12
에스지씨이테크건설(주),016250,2012/12,3.77,1.27,15.51,6.28,1.8
에스지에이(주),049470,2012/12,-20.78,-5.8,2.33,-9.77,0.73
에스텍(주),069510,2012/12,-3.19,4.91,28.73,29.58,1.81
에이치엘비(주),028300,2012/12,-6.53,-18.37,9.33,-27.64,0.53
에이치엘비생명과학(주),067630,2012/12,-78.03,-94.48,-4.31,32.15,0.17
에이치엘비이노베이션(주),024850,2012/12,-9.32,-8.4,12.63,16.21,1.05
에이치엘비테라퓨틱스(주),115450,2012/12,-50.76,-123.76,0.7,-8.64,0.15
에이치엘비파나진(주),046210,2012/12,-29.68,-25.64,-7.45,3.65,0.85
에이테크솔루션(주),071670,2012/12,0.96,-2.58,14.31,-3.2,1.06
에코바이오홀딩스(주),038870,2012/12,86.43,34.77,13.84,4.74,0.19
에코볼트(주),097780,2012/12,-4.65,5.83,25.66,33.12,2.67
에코플라스틱(주),038110,2012/12,-0.57,0.59,31.36,23.66,2.35
엑스큐어(주),070300,2012/12,-49.94,-4.04,15.05,92.44,0.52
엔시트론(주),101400,2012/12,3.57,3.07,24.47,36.08,1.12
엔에이치엔케이씨피(주),060250,2012/12,16.87,3.65,23.62,14.6,2.04
엘비세미콘(주),061970,2012/12,52.96,8.97,23.11,9.9,0.72
엘에스마린솔루션(주),060370,2012/12,-38.18,11.54,23.57,37.29,0.58
엘컴텍(주),037950,2012/12,-34.99,-85.2,-43.86,-4.94,0.61
엠케이전자(주),033160,2012/12,-10.89,0.98,13.61,21.17,2.63
영풍정밀(주),036560,2012/12,1.25,10.9,9.31,7.05,0.38
예스이십사(주),053280,2012/12,-4.29,2.15,18.76,13.06,2.6
오로라월드(주),039830,2012/12,3.45,5.81,9.45,8.05,0.58
오상자이엘(주),053980,2012/12,11.34,4.2,10.83,9.28,0.73
오성첨단소재(주),052420,2012/12,-9.59,-112.87,-24.57,-3.45,0.32
옴니시스템(주),057540,2012/12,-14.97,-21.81,-8.72,-3.04,0.44
옵티시스(주),109080,2012/12,-4.16,19.36,25.4,53.68,0.61
와이더블유(주),051390,2012/12,45.92,6.92,6.99,46.45,0.78
와이엠씨(주),155650,2012/12,0,16.04,32.09,59.58,0.97
와토스코리아(주),079000,2012/12,2.58,18.02,12.77,92.03,0.32
