회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),총자본정상영업이익률(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 총자본비율(IFRS),총자본회전률(IFRS),자기자본회전률(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS)
(주)비아트론,141000,2015/12,37.55,1.15,15.51,10.31,58.43,7.85,0.56,0.7,18.42,78.66
(주)비앤비성원,015200,2010/12,0.44,-2.08,-2.37,3.29,20.53,6.64,0.81,1.19,5.23,36.38
(주)비앤비성원,015200,2011/12,0.84,2.65,-14.33,2.71,21.16,7.16,0.81,1.22,-3.6,-27.51
(주)비엘팜텍,065170,2010/12,333.53,35.24,4.42,1,-62.38,-13.92,0.76,1.05,1.99,34.38
(주)비엘팜텍,065170,2011/12,44.79,7.39,0.77,3.41,-7.47,-1.74,0.93,1.2,2.06,38.68
(주)비엘팜텍,065170,2012/12,5.92,-5.89,-7.03,0.22,13.63,2.84,0.98,1.25,-8.95,-162.9
(주)비엘팜텍,065170,2013/12,-31.16,11.67,-5.27,-1.2,4.65,1,0.66,0.83,-0.24,-4.87
(주)비엘팜텍,065170,2014/12,44.64,6.45,-0.47,0.15,-11.73,-1.44,0.87,1.05,2.83,63.35
(주)비엘팜텍,065170,2015/12,-33.5,-5.73,-23.42,-3.61,-11.37,-1.51,0.58,0.66,-9.65,-201.84
(주)비엠티,086670,2010/12,85.06,26.15,9.75,10.24,-2.85,-1.23,0.69,1.2,17.54,42.16
(주)비엠티,086670,2011/12,8.3,2.92,9.71,10.88,9.54,3.79,0.66,1.12,18.77,46.4
(주)비엠티,086670,2012/12,-3.7,2.14,6.85,6.9,21.25,7.92,0.62,1,15.88,39.34
(주)비엠티,086670,2013/12,21.35,31.74,7.8,8.61,4.69,1.84,0.64,1.04,15.43,43.37
(주)비엠티,086670,2014/12,17.15,3.86,2.74,6.52,2.68,1.07,0.65,1.07,13.62,37.16
(주)비엠티,086670,2015/12,-8.15,-1.54,4.62,2.65,7.25,2.77,0.59,0.96,15.72,42.82
(주)비지에프에코머티리얼즈,126600,2010/12,45.33,64.67,6.18,17.14,-2.02,-0.42,2.24,3.15,23.97,152.62
(주)비지에프에코머티리얼즈,126600,2011/12,23.28,34.95,4.65,11.01,-20.87,-7.11,1.89,2.64,17.88,61.18
(주)비지에프에코머티리얼즈,126600,2012/12,5.01,5.04,6.77,13.51,-0.15,-0.04,1.68,2.43,22.55,72.67
(주)비지에프에코머티리얼즈,126600,2013/12,3.28,22.4,7.85,15.58,41.14,12.2,1.53,2.14,22.63,91.69
(주)비지에프에코머티리얼즈,126600,2014/12,16.55,17.41,9.69,15.97,52.72,13.83,1.49,2.06,24.2,113.61
(주)비지에프에코머티리얼즈,126600,2015/12,4.35,30.22,10.87,15.25,50.64,10.72,1.25,1.63,21.96,135.12
(주)비츠로셀,082920,2010/03,16.44,88.1,15.46,25.03,183.15,19.82,1.28,1.57,16.27,92.05
(주)비츠로셀,082920,2011/03,6.34,18.34,14.81,13.68,96.38,11.5,0.95,1.08,32.11,136.16
(주)비츠로셀,082920,2012/03,16.19,11.61,13.64,13.2,80.65,11.15,0.96,1.11,31.26,135.06
(주)비츠로셀,082920,2013/03,14.49,17.13,11.47,11.91,94.98,11.42,0.96,1.11,24.7,82.01
(주)비츠로셀,082920,2014/03,13.69,11.7,9.48,10.57,70.23,11.37,0.96,1.12,24.91,76.71
(주)비츠로셀,082920,2015/06,0,0,13.07,11.73,71.34,16.26,0.83,1.08,27.01,76.56
(주)비츠로시스,054220,2010/03,96.58,-14.15,0.71,8.92,4.34,1.95,1.82,3.63,2.25,8.99
(주)비츠로시스,054220,2011/03,-33.03,20.92,0.65,2.97,-11.23,-5.82,1.2,2.33,13.21,99.41
(주)비츠로시스,054220,2012/03,15.42,17.65,1.45,4.21,-1.82,-0.99,1.16,2.48,13.19,117.47
(주)비츠로시스,054220,2013/03,10.72,21.59,1.06,5.1,11.59,5.79,1.07,2.23,11.44,93.35
(주)비츠로시스,054220,2014/03,-28.11,2.6,-5.91,-0.28,-4.42,-2.43,0.69,1.46,4.17,35.15
(주)비츠로시스,054220,2015/03,-11.77,1.68,-19.33,-10.7,-7.47,-4.33,0.6,1.37,-3.48,-30.12
(주)비츠로테크,042370,2010/03,10.9,18.06,5.74,3.52,12.15,5.95,1.36,2.58,9.94,53.5
(주)비츠로테크,042370,2011/03,24.05,50.77,0.57,2.27,-8.94,-3.6,1.24,2.2,15.08,52.46
(주)비츠로테크,042370,2012/03,8.35,6.83,0.62,1.59,-6.61,-2.88,1.08,1.86,14.79,54.77
(주)비츠로테크,042370,2013/03,0.72,12.56,3.59,1.58,4.76,2.08,0.99,1.75,17.09,63.91
(주)비츠로테크,042370,2014/03,14.67,-2.24,2.22,2.08,-0.28,-0.12,1.08,1.87,19.44,72.07
(주)비츠로테크,042370,2015/06,0,0,1.86,0.99,8.29,3.88,1.15,2.16,19.78,72.35
(주)비케이홀딩스,050090,2010/12,36.89,9.18,-2.31,1.52,13.89,9.37,0.5,1.38,13.95,22.47
(주)비케이홀딩스,050090,2011/12,6.44,-2.1,-11.23,-2.51,11.91,8.2,0.52,1.63,12.81,28.51
(주)비케이홀딩스,050090,2012/12,-11.46,4.06,45.58,1.65,11.84,5.93,0.46,1.12,37.44,102.51
(주)비케이홀딩스,050090,2013/12,-8.06,-4.15,0.31,1.69,5.85,2.79,0.42,0.82,16.54,45.05
(주)비케이홀딩스,050090,2014/12,-73.82,-16.49,-102.68,1.03,5.72,2.94,0.12,0.24,4.46,19.86
(주)비케이홀딩스,050090,2015/12,56.92,-45.37,-28.26,0.18,2.88,1.7,0.27,0.59,11.35,30.78
(주)비트컴퓨터,032850,2010/12,14.48,13.51,13.87,7.98,6.34,2.63,0.69,1.22,19.45,76.52
(주)비트컴퓨터,032850,2011/12,-3.61,11.79,9.42,7.86,13.92,5.86,0.59,1.02,18.79,64.81
(주)비트컴퓨터,032850,2012/12,6.84,-1.06,0.59,3.04,8.97,3.89,0.6,1.05,13.78,48.23
(주)비트컴퓨터,032850,2013/12,7.86,1.35,-1.42,2.45,6.44,2.9,0.65,1.16,12.16,44.26
(주)비트컴퓨터,032850,2014/12,-2,-6.08,3.74,4.79,15.99,6.23,0.65,1.13,15.7,54.97
(주)비트컴퓨터,032850,2015/12,7.69,-2.73,12.37,9.84,30.92,8.66,0.74,1.11,24.74,69.98
(주)빅솔론,093190,2010/12,-0.78,16.4,16.17,15.42,96.86,17.03,1.16,1.43,28.79,180.73
(주)빅솔론,093190,2011/12,16.34,18.9,15.21,16.94,84.95,14.27,1.14,1.38,29.82,256.59
(주)빅솔론,093190,2012/12,-6.17,11.38,18.03,13.83,79.34,9.33,0.94,1.09,28.54,250.29
(주)빅솔론,093190,2013/12,11.2,19.84,21.27,16.84,90.68,10,0.9,1.01,30.18,284.23
(주)빅솔론,093190,2014/12,-5.63,13.54,17.44,12.7,96.55,11.4,0.73,0.82,22.07,262.38
(주)빅솔론,093190,2015/12,4.84,14.92,24.45,12.56,75.42,8.3,0.67,0.75,25.45,349.19
(주)빅텍,065450,2010/12,-17.24,-0.97,5.7,4.74,40.93,15.53,0.73,1.2,21.77,76.25
(주)빅텍,065450,2011/12,-27.68,-18.34,-8.09,-6.74,-8.75,-3.12,0.58,0.93,13.34,40.02
(주)빅텍,065450,2012/12,-9.83,-12.26,-18.77,-9.79,-29.54,-9.1,0.62,0.94,12.38,55.25
(주)빅텍,065450,2013/12,16.59,10.93,3.57,2.5,13.34,4.4,0.74,1.09,23.55,136.13
(주)빅텍,065450,2014/12,6.18,9.83,5.22,3.2,36.31,13.43,0.71,1.1,23.39,142.99
(주)빅텍,065450,2015/12,17.89,16,3.58,2.81,10.21,4.5,0.74,1.25,21.39,65.8
(주)빅토리콘텐츠,210120,2014/12,21.02,-11.15,5.53,19.99,13.83,6.92,2.47,6.04,164.64,15649.06
(주)빅토리콘텐츠,210120,2015/12,-76.19,28.76,18.96,13.15,2.37,1.23,0.55,1.11,32.43,3147.08
(주)사람인,143240,2012/12,16.41,63.76,9.83,18.43,41.29,8.89,1.62,2.33,111.4,595.67
(주)사람인,143240,2013/12,6.95,78.12,9.37,11.98,84.46,6.88,1,1.15,65.49,562.48
(주)사람인,143240,2014/12,5.97,-1.03,6.45,6.49,80.17,7.12,0.83,0.91,70.76,616.43
(주)사람인,143240,2015/12,23.79,9.41,12.68,14.86,97.16,10.78,0.99,1.1,81.3,746.17
(주)삼기,122350,2010/06,,,,,,,,,,
(주)삼기,122350,2011/12,,,,,,,,,,
(주)삼기,122350,2012/12,0,0,2.38,7.26,10.8,5.63,1.28,2.67,25.63,34.8
(주)삼기,122350,2013/12,0.62,-2.73,3.1,5.82,28.73,13.6,1.3,2.6,32.14,45.13
(주)삼기,122350,2014/12,67.61,121.86,5.75,11.04,17.78,11.05,1.38,3.24,25.31,34.96
(주)삼기,122350,2015/12,18.4,16.07,6.33,10.27,17.69,10.92,1.09,2.87,28.6,40.19
(주)삼보판지,023600,2010/12,24.05,94.47,2.26,2.21,9.6,3.24,0.5,0.76,4.92,10.16
(주)삼보판지,023600,2011/12,15.17,0.66,0.97,1.17,4.27,1.44,0.43,0.65,5.21,11.1
(주)삼보판지,023600,2012/12,-0.99,-1.68,5.71,2.68,8.48,2.56,0.43,0.63,8.24,17.72
(주)삼보판지,023600,2013/12,-8.76,1.52,4.15,1.55,12.32,3.66,0.39,0.56,6.87,14.77
(주)삼보판지,023600,2014/12,1.4,7.29,1.08,0.39,8.95,3.07,0.38,0.56,5.29,9.69
(주)삼보판지,023600,2015/12,-1.76,-7.25,-11.13,0.43,7.61,2.6,0.37,0.57,1.61,3.47
(주)삼우이엠씨,026250,2010/12,47.2,7.88,-0.92,-4,-5.29,-3.28,0.94,2.05,10.07,47.69
(주)삼우이엠씨,026250,2011/12,-16.27,-2.15,-19.11,-2.29,-5.47,-4.09,0.77,2.43,-1.31,-7.61
(주)삼우이엠씨,026250,2012/12,-67.89,-57.11,-196.04,-44.5,-0.08,-0.12,0.35,0,-50.34,-153.8
(주)삼일,032280,2010/12,16.22,7.81,0.36,1.95,1.93,1.22,1.1,2.8,25.18,36.37
(주)삼일,032280,2011/12,16.96,25,1.74,4.69,2.21,1.52,1.1,3.29,21.8,28.08
(주)삼일,032280,2012/12,-2.89,19.22,0.24,3.34,4.49,3.32,0.88,3.11,17.84,23.24
(주)삼일,032280,2013/12,8.33,4.28,5.2,4.13,6.84,4.84,0.86,3.1,23.11,32.89
(주)삼일,032280,2014/12,7.59,-1.94,2.8,2.63,1.4,0.95,0.91,2.97,17.88,30.29
(주)삼일,032280,2015/12,-4.81,-11.86,21.6,0.5,-10.64,-4.14,0.93,2.04,44.98,67.63
(주)삼일기업공사,002290,2010/12,7.85,1.33,5.2,3.49,39.13,5.37,0.82,0.97,7.51,88.72
(주)삼일기업공사,002290,2011/12,-3.57,5.12,5.14,2.77,11.47,1.66,0.77,0.89,6.34,79.89
(주)삼일기업공사,002290,2012/12,36.87,6.28,5.75,4.78,16.37,2.38,0.99,1.16,14.57,199.88
(주)삼일기업공사,002290,2013/12,-40.6,-3.46,4.51,1.12,54.33,5.1,0.58,0.66,9.02,121.09
(주)삼일기업공사,002290,2014/12,106.73,16.29,2.46,1.67,104.36,20.65,1.13,1.33,11.74,182.75
(주)삼일기업공사,002290,2015/12,12.78,1.2,4.35,5.22,188.45,30.41,1.18,1.44,14.28,223.96
(주)삼진,032750,2010/12,17.85,27.52,7.7,14.76,24.87,10.9,1.47,2.96,25.82,61.16
(주)삼진,032750,2011/12,-6.97,17.57,4.01,2.95,9.96,4.85,1.12,2.1,16.86,46.92
(주)삼진,032750,2012/12,52.64,-13.73,3.49,11.87,26.5,9.13,1.7,2.94,20.79,51.4
(주)삼진,032750,2013/12,4.99,-6.3,1.73,2.47,62.45,16.58,1.99,2.87,17.16,40.49
(주)삼진,032750,2014/12,-0.53,12,0.96,0.88,9.93,3.32,1.93,2.77,13.88,36.8
(주)삼진,032750,2015/12,-20.06,-2.98,4.28,1.08,23.37,6.05,1.48,2.11,19.19,50.32
(주)삼진엘앤디,054090,2010/12,11.97,-3.03,2.27,1.88,15.45,9.56,0.81,2.27,16.88,92.56
(주)삼진엘앤디,054090,2011/12,42.41,32.27,0.79,2.85,9.88,6.22,1,2.67,12.13,66.33
(주)삼진엘앤디,054090,2012/12,-9.32,-9.39,4.85,-5.27,-8.98,-4.89,0.84,2.04,15.47,64.94
(주)삼진엘앤디,054090,2013/12,4.93,4.38,4.61,-0.99,-18.07,-8.37,0.91,1.82,9.23,42.53
(주)삼진엘앤디,054090,2014/12,-16.97,-9.92,-5.68,-3.88,-3.71,-1.54,0.77,1.38,5.47,23.45
(주)삼진엘앤디,054090,2015/12,57.92,16.22,6.06,5.28,4.92,2.03,1.19,2.04,17.73,94.95
(주)삼표시멘트,038500,2010/12,10685.16,379.72,-6.95,1.28,2.68,1.54,0.54,1.19,9.36,16.4
(주)삼표시멘트,038500,2011/12,12.9,-2.79,-15.41,-2.41,2.08,1.29,0.37,0.92,6.95,12.74
(주)삼표시멘트,038500,2012/12,12.36,-4.2,-11.37,2.44,2.81,1.84,0.43,1.2,7.99,15.12
(주)삼표시멘트,038500,2013/12,-0.65,-11.6,-36.63,0.94,9.54,7.34,0.47,1.61,-1.88,-3.4
(주)삼표시멘트,038500,2014/12,-9.01,1.75,54.53,4.45,14.75,7.91,0.45,1.29,41.83,83.92
(주)삼표시멘트,038500,2015/12,1.81,-15.15,-4.13,3.59,11,5.34,0.49,1,13.95,26.09
(주)삼화네트웍스,046390,2010/12,57.74,31,0.7,4.4,16.48,4.99,0.7,0.91,7.94,838.52
(주)삼화네트웍스,046390,2011/12,-8.55,-4.63,-6.43,8.99,11.41,2.05,0.57,0.76,2.41,203.31
(주)삼화네트웍스,046390,2012/12,-34.99,-19.11,-21.18,0.16,-28.65,-2.56,0.42,0.49,-4.3,-372.72
(주)삼화네트웍스,046390,2013/12,183.99,31.54,8.76,9.49,142.38,23.27,1.16,1.34,13.55,2020.95
(주)삼화네트웍스,046390,2014/12,-23.8,0.79,-6.31,-5.69,162.8,24.73,0.78,0.92,1.95,502.68
(주)삼화네트웍스,046390,2015/12,-40.73,-11.05,-8.84,-5.47,51.86,4.63,0.48,0.55,3.1,1116.45
(주)상보,027580,2010/12,45.73,6.53,2.25,5.98,6.19,4.78,1.11,4.97,19.47,46.04
(주)상보,027580,2011/12,21.31,17.66,3.98,8.07,9.6,7.21,1.2,4.99,20.65,59.7
(주)상보,027580,2012/12,39.15,7.24,3.16,13.02,15.24,9.65,1.49,4.8,24.95,74.96
(주)상보,027580,2013/12,-12.82,2.96,3.99,5.22,14.66,8.84,1.23,3.23,19.43,51.38
(주)상보,027580,2014/12,2.84,-3.83,-4.45,0.85,-6.11,-3.98,1.28,3.42,15.1,38.07
(주)상보,027580,2015/12,-22.16,-5.55,-0.17,0.09,-12.51,-7.92,1.04,2.91,17.49,47.31
(주)상상인,038540,2010/12,20.6,12.66,5.07,5.36,26.14,6.04,0.82,1.02,13,370.79
(주)상상인,038540,2011/12,9.34,10.22,11.54,5.04,24.66,5.69,0.8,1.05,16.15,546.56
(주)상상인,038540,2012/12,40.17,54.92,12.06,5.83,27.49,6.63,0.84,1.11,12.53,560.56
(주)상상인,038540,2013/12,-22.6,4.18,12.61,2.62,48.77,9.34,0.53,0.67,10.28,447.83
(주)상상인,038540,2014/12,80.6,5.49,7.9,5.6,41.1,6.97,0.91,1.11,15.59,740.93
(주)상상인,038540,2015/12,-15.22,39.04,18.13,2.03,20.38,6.16,0.63,0.83,11.91,838.92
(주)상상인인더스트리,101000,2010/12,-47.94,13.63,-16.34,-6.59,-7.84,-4.61,0.4,1.07,-0.2,-0.61
(주)상상인인더스트리,101000,2011/12,28.81,-6.07,-32.83,-19.62,-9.47,-6.87,0.5,1.46,-12.84,-38.02
(주)상상인인더스트리,101000,2012/12,26.24,-2.72,-12.59,-9.52,-10.07,-8.11,0.67,2.83,7.44,18.08
(주)상상인인더스트리,101000,2013/12,32.29,15.2,6.84,1.5,-8.44,-5.84,0.83,3.25,13.92,39.45
(주)상상인인더스트리,101000,2014/12,93.29,14.1,2.6,3.39,-0.67,-0.47,1.4,4.61,10.96,36.07
(주)상상인인더스트리,101000,2015/12,-5.97,-1.68,3.51,4.64,2.44,1.61,1.24,3.88,12.8,39.49
(주)상아프론테크,089980,2011/12,8.36,28.02,5.23,6.98,14.71,5.29,1.05,1.68,23.86,46.39
(주)상아프론테크,089980,2012/12,-10.58,6.8,5.17,5.07,13,4.93,0.81,1.28,23.61,44.58
(주)상아프론테크,089980,2013/12,12.24,18.41,7.77,6.46,14.69,6.21,0.8,1.35,24.63,49.89
(주)상아프론테크,089980,2014/12,6.95,4.81,3.45,3.81,17.45,7.42,0.78,1.35,22.85,44.91
(주)상아프론테크,089980,2015/12,7.69,12.98,8.22,7.62,16.6,7.09,0.77,1.34,25.26,56.69
(주)상지카일룸,042940,2010/12,28.4,-1.98,-5.44,4.99,16.69,9.9,1.17,2.69,3.94,103.26
(주)상지카일룸,042940,2011/12,-61.06,-36.58,-63.64,-10.09,-1.82,-1.11,0.56,1.4,-25.38,-696.84
(주)상지카일룸,042940,2012/12,-33.38,-31.04,-101.43,-24.01,-48.57,-33.99,0.57,1.62,-51.15,-1030.09
(주)상지카일룸,042940,2013/12,-21.29,-8.11,3.99,-23.59,-63.69,-34.99,0.57,1.54,29.57,641.65
(주)상지카일룸,042940,2014/12,33.44,-20.9,-29.81,-18.06,-21.6,-14.83,0.89,2.29,-4.43,-82.29
(주)상지카일룸,042940,2015/12,14.35,-33.99,-11.47,0.65,-0.54,-0.27,1.39,3.63,17.27,209.55
(주)새로닉스,042600,2010/12,43.74,1.91,4.31,3.92,29.11,6.55,0.79,1.04,22.1,99.19
(주)새로닉스,042600,2011/12,-6.8,2.81,-3.27,-1.76,15.86,4.42,0.72,0.96,18.1,62.6
(주)새로닉스,042600,2012/12,0.36,-2.56,-8.75,-4.11,5.99,1.96,0.72,1.04,8.77,28.55
(주)새로닉스,042600,2013/12,-12.43,0.63,-6.29,-2.97,0,0,0.64,0.97,9.23,30.6
(주)새로닉스,042600,2014/12,64.97,9.53,9.31,3.32,11.81,3.79,1,1.51,14.89,59.67
(주)새로닉스,042600,2015/12,-4.86,4.65,2.57,1.9,19.57,6.57,0.89,1.33,12.43,75.19
(주)서린바이오사이언스,038070,2010/12,9.34,10.61,7.57,6.33,23.43,6.98,0.81,1.13,16.27,145.28
(주)서린바이오사이언스,038070,2011/12,29.51,10.2,8.34,8.9,26.4,7.83,0.94,1.34,19.81,76.78
(주)서린바이오사이언스,038070,2012/12,35.3,29.31,9.01,11.05,20.97,7.16,1.06,1.57,21.44,108.32
(주)서린바이오사이언스,038070,2013/12,-20.97,4.63,9.85,7.38,25.06,7.7,0.73,1.08,18.34,86.34
(주)서린바이오사이언스,038070,2014/12,-13.13,0.51,7.25,4.53,22.85,6.5,0.62,0.88,15.53,77.01
(주)서린바이오사이언스,038070,2015/12,10.36,8.41,4.71,3.23,19.27,5.75,0.65,0.92,13.15,57.81
(주)서부티엔디,006730,2010/12,-5.04,7.46,-3.33,0.49,1.57,0.59,0.05,0.08,1.4,532.44
(주)서부티엔디,006730,2011/12,6.7,10.45,1.33,0.51,5.6,2.38,0.05,0.08,1.4,610.59
(주)서부티엔디,006730,2012/12,22.72,16.7,0.73,0.5,5.13,2.5,0.05,0.1,1.43,114.35
(주)서부티엔디,006730,2013/12,24.14,-3.24,-40.28,1.15,3.32,1.64,0.06,0.12,2.68,242.01
(주)서부티엔디,006730,2014/12,7.32,5.09,0.44,1.26,3.17,1.64,0.07,0.13,2.59,269.69
(주)서부티엔디,006730,2015/12,0.81,2.4,-24.02,1.4,1.57,0.85,0.06,0.14,0.93,100.51
(주)서산,079650,2010/12,-20.11,-6.17,-1.23,-1.6,89.45,8.48,0.79,0.91,19.36,104.77
(주)서산,079650,2011/12,14.14,4.18,1.73,0.75,45.94,5.56,0.91,1.02,22.92,134.75
(주)서산,079650,2012/12,61.41,18.67,8.88,13.37,46.25,7.07,1.31,1.52,35.9,205.99
(주)서산,079650,2013/12,-9.25,-0.34,4.49,7.52,50.61,5.48,1.1,1.26,31.23,191.11
(주)서산,079650,2014/12,-11.71,4.58,5.28,3.16,61.07,6.32,0.95,1.06,29.84,186.7
(주)서산,079650,2015/12,3.15,6,4.91,3.57,78.66,9.01,0.93,1.04,29.37,206.56
(주)서연탑메탈,019770,2011/12,22.31,37.75,9.41,19.47,25.59,5.64,1.66,2.22,33.33,155.88
(주)서연탑메탈,019770,2012/12,0.81,7.89,6.76,13.09,3.91,0.79,1.39,1.76,27.67,116.34
(주)서연탑메탈,019770,2013/12,-1.73,7.88,5.4,7.71,11.37,2.28,1.26,1.58,24.91,101.38
(주)서연탑메탈,019770,2014/12,8.44,21.83,6.09,9.06,28.13,8.1,1.19,1.59,23.4,65.94
(주)서연탑메탈,019770,2015/12,-8.25,20.63,1.73,3.28,11.39,4.64,0.9,1.39,15.63,53
(주)서울리거,043710,2010/12,12.38,-38.14,-63.11,-14.92,-46.31,-19.32,0.69,1.04,-55.34,-1040.71
(주)서울리거,043710,2011/12,52.03,-18.18,-4.26,4.12,-65.42,-13.23,1.51,2.22,13.18,131.29
(주)서울리거,043710,2012/12,92.27,48.95,3.51,9.3,-24.42,-8.92,2.59,3.7,24.06,191.76
(주)서울리거,043710,2013/12,-8.37,-52.2,-32.17,-46.72,1.24,1.02,2.68,5.53,-64.51,-854.47
(주)서울리거,043710,2014/12,-78.41,139.96,-94.38,-46.9,-78.69,-12.1,0.53,0.81,-25.12,-1190.94
(주)서울리거,043710,2015/12,-27.18,-16.08,-115.86,-36.18,-206.67,-37.73,0.3,0.35,-34.36,-3709.27
(주)서울옥션,063170,2010/12,27.74,11.09,-4.08,-1.4,2.26,0.53,0.26,0.32,4.31,37.4
(주)서울옥션,063170,2011/12,-19.18,-5.39,-39.33,-5.71,-6.07,-1.7,0.2,0.27,0.55,4.71
(주)서울옥션,063170,2012/12,27.46,-2.52,11.45,3.16,0.44,0.1,0.27,0.36,9.02,75.05
(주)서울옥션,063170,2013/12,-29.58,2.12,14.18,4.01,8.03,1.89,0.19,0.25,9.71,85.39
(주)서울옥션,063170,2014/12,73.98,11.22,13.74,6.22,17.98,5.13,0.31,0.42,10.89,103.8
(주)서울옥션,063170,2015/12,104.08,35.86,15.79,10.06,-13.84,-5.8,0.51,0.8,13.83,106.77
(주)서울제약,018680,2010/12,27.05,6.12,3.5,6.72,8.8,4.41,1.07,2.15,31.22,79.43
(주)서울제약,018680,2011/12,8.42,9.81,3.04,4.63,15.8,8.26,1.07,2.2,29.24,65.7
(주)서울제약,018680,2012/12,5.83,42.14,11,11.81,19.94,11.6,0.9,2.03,30.79,101.68
(주)서울제약,018680,2013/12,-9.35,17.71,1.47,2.02,11.22,6.16,0.64,1.46,22.06,89.46
(주)서울제약,018680,2014/12,4.22,10.58,-1.59,0.9,1.1,0.67,0.58,1.38,21.62,100.87
(주)서울제약,018680,2015/12,2.09,4.68,-1.75,0.84,2.95,1.75,0.55,1.38,21.23,47.16
(주)서원인텍,093920,2010/12,7.31,-2.54,2.96,6.53,8.18,2,1.5,2,28.05,131.46
(주)서원인텍,093920,2011/12,24.1,3.2,4.29,7.03,8.43,1.68,1.85,2.38,33.39,160.87
(주)서원인텍,093920,2012/12,-6.11,20.37,8.95,6.71,52.26,12.15,1.56,1.99,33.4,226.8
(주)서원인텍,093920,2013/12,58.92,36.86,9.79,14.19,37.01,11,1.91,2.62,35.41,211.4
(주)서원인텍,093920,2014/12,20.43,21.35,11.16,11.48,50.62,13.87,1.8,2.51,36.29,284.81
(주)서원인텍,093920,2015/12,-20.6,-4.72,6.3,4.8,104.41,20.84,1.33,1.75,24.55,164.67
(주)서전기전,189860,2014/12,2.21,47.22,17.1,24.3,29.21,5.65,1.67,2.39,43.97,295.48
(주)서전기전,189860,2015/12,-25.37,-8.28,1.63,0.98,48.32,7.84,1.09,1.33,20.76,49.61
(주)서진오토모티브,122690,2010/12,,,,,,,,,,
(주)서진오토모티브,122690,2011/12,,,,,,,,,,
(주)서진오토모티브,122690,2012/12,0,0,0.15,2.13,-7.26,-3.15,0.86,1.53,16.93,42.39
(주)서진오토모티브,122690,2013/12,6.66,1.95,3.14,3.79,1.05,0.43,0.91,1.58,21.25,50.06
(주)서진오토모티브,122690,2014/12,2.43,17.71,4.69,3.03,5.17,2.57,0.85,1.57,18.36,43.46
(주)서진오토모티브,122690,2015/12,-12.99,9.81,2.46,0.38,-0.01,0,0.65,1.35,12.75,30.94
(주)서한,011370,2010/12,24.87,14.61,2,3.68,-0.42,-0.19,1.21,2.08,13.45,457.95
(주)서한,011370,2011/12,-8.66,13.82,-5.29,-4.84,4.06,1.9,0.97,1.77,5.03,200.01
(주)서한,011370,2012/12,16.1,8.32,2.72,3.82,-8,-3.91,1.01,1.94,13.78,586.41
(주)서한,011370,2013/12,99.72,34.55,4.99,8.79,-0.17,-0.09,1.66,3.49,18.44,1221.76
(주)서한,011370,2014/12,60.02,57.28,5.59,13.33,2.31,1.48,1.8,4.55,19.28,692.9
(주)서한,011370,2015/12,-5.36,24.12,7.21,10.96,1.36,0.85,1.24,3.36,16.89,767.73
(주)서희건설,035890,2010/12,19.59,11.18,-1.02,0.84,6.49,4.72,1.44,4.79,0.8,32.71
(주)서희건설,035890,2011/12,-2.7,3.97,0.81,2.89,-2.6,-1.84,1.31,4.63,2.8,124.63
(주)서희건설,035890,2012/12,-14.26,-8.89,-1.32,0.95,-15.72,-10.21,1.15,3.6,9.35,394.42
(주)서희건설,035890,2013/12,-8.14,-12.56,-7.47,1.17,-1.61,-1.12,1.18,3.58,2.98,273.46
(주)서희건설,035890,2014/12,15.96,-1.13,0.62,4.68,8.96,6.09,1.48,4.72,13.56,1228.19
(주)서희건설,035890,2015/12,12.04,-4.88,0.41,5.21,12.01,7.88,1.71,5.16,13.61,1258.89
(주)선광,003100,2010/12,28.42,38.7,24.32,13.34,28.96,9.35,0.4,0.62,24.24,59.88
(주)선광,003100,2011/12,-5.58,-2.55,56.25,24.38,33.82,9.55,0.33,0.47,38.15,96.11
(주)선광,003100,2012/12,-1.85,0.74,14,5.26,29.69,7.41,0.33,0.45,18.31,49.14
(주)선광,003100,2013/12,-2.93,9.59,12.31,4.22,22.04,6.27,0.3,0.41,15.9,38.75
(주)선광,003100,2014/12,-11.53,-6.7,-10.85,4.38,22.65,6.11,0.26,0.37,8.12,20.81
(주)선광,003100,2015/12,-28.3,13.57,16.79,2.83,17.87,5.98,0.18,0.26,12.96,37.87
(주)선팩테크,054010,2010/12,30.48,-25.96,-510.4,-24.1,1.66,1.65,0.1,0.48,-53.67,-65.05
(주)성광벤드,014620,2010/12,-15.14,8.18,8.9,6.84,5.3,1.24,0.57,0.74,12.88,34.78
(주)성광벤드,014620,2011/12,24.71,11.97,7.99,7.29,-2.87,-0.8,0.65,0.87,12.84,36.77
(주)성광벤드,014620,2012/12,35.69,14.79,15.2,16.13,21.83,5.88,0.78,1.07,20.57,62.06
(주)성광벤드,014620,2013/12,9.9,3.94,17.73,18.21,76.87,13.26,0.78,1,23.92,67.37
(주)성광벤드,014620,2014/12,-28.97,6.38,16.08,10.42,71.49,11.59,0.53,0.63,17.07,50.79
(주)성광벤드,014620,2015/12,-12.4,-2.49,7.71,3.96,66.58,7.78,0.45,0.53,11.27,26.69
(주)성도이엔지,037350,2010/12,14.84,40.04,3.92,8.09,20.87,10.48,1.22,2.28,5.63,46.93
(주)성도이엔지,037350,2011/12,0,0,7.13,17.83,-0.85,-0.32,1.86,2.97,35.64,494.86
