회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결)
(주)녹십자셀,31390,20-Dec,1998-09-25,2021-11-17,4,7.74,-81.96,4.93,2.14,11.44,19.69,58.32,139.22,0.25,0.44
(주)다린,204690,11-Dec,2014-09-18,2017-08-02,4,,,,,,,,,,
(주)다린,204690,12-Dec,2014-09-18,2017-08-02,4,,,,,,,,,,
(주)다린,204690,13-Dec,2014-09-18,2017-08-02,4,,,,,,,,,,
(주)다린,204690,14-Dec,2014-09-18,2017-08-02,4,,,,,,,,,,
(주)다린,204690,15-Dec,2014-09-18,2017-08-02,4,,,,,,,,,,
(주)다린,204690,16-Dec,2014-09-18,2017-08-02,4,,,,,,,,,,
(주)대국,42340,11-Dec,2000-06-22,2012-04-13,4,,,,,,,,,,
(주)대원모방,311840,16-Dec,2018-12-27,2020-02-27,4,,,,,,,,,,
(주)대원모방,311840,17-Dec,2018-12-27,2020-02-27,4,,,,,,,,,,
(주)대원모방,311840,18-Dec,2018-12-27,2020-02-27,4,,,,,,,,,,
(주)더블유게임즈,192080,14-Dec,2015-11-04,2019-03-12,4,,,,,,,,,,
(주)더블유게임즈,192080,15-Dec,2015-11-04,2019-03-12,4,,,,,,,,,,
(주)더블유게임즈,192080,16-Dec,2015-11-04,2019-03-12,4,0.0,0.0,31.3,12.91,16.63,6437.66,86.56,562.11,0.36,0.41
(주)더블유게임즈,192080,17-Dec,2015-11-04,2019-03-12,4,105.19,-27.59,11.16,9.04,10.63,5547.41,40.58,34.19,0.45,0.82
(주)데코앤이,17680,11-Dec,1993-09-03,2019-11-20,4,51.1,0.0,-0.65,-6.84,21.46,394.49,15.24,113.0,1.48,10.52
(주)데코앤이,17680,12-Dec,1993-09-03,2019-11-20,4,-12.85,0.0,-1.08,-10.19,25.22,415.85,19.71,116.01,1.63,9.47
(주)데코앤이,17680,13-Dec,1993-09-03,2019-11-20,4,-20.09,0.0,10.56,56.95,35.56,1072.73,32.42,128.12,1.42,5.39
(주)데코앤이,17680,14-Dec,1993-09-03,2019-11-20,4,-19.24,0.0,-6.07,-22.57,13.9,535.56,48.55,160.09,1.42,3.72
(주)데코앤이,17680,15-Dec,1993-09-03,2019-11-20,4,-40.55,0.0,-6.84,-15.02,13.07,517.42,58.92,184.0,1.18,2.2
(주)데코앤이,17680,16-Dec,1993-09-03,2019-11-20,4,-13.01,0.0,-15.66,-26.12,7.29,170.48,64.99,209.93,1.03,1.67
(주)데코앤이,17680,17-Dec,1993-09-03,2019-11-20,4,-15.44,0.0,-45.45,-67.27,-17.86,-624.98,51.46,117.38,0.86,1.48
(주)데코앤이,17680,18-Dec,1993-09-03,2019-11-20,4,10.19,0.0,-20.49,-35.94,10.02,426.95,45.14,130.31,0.84,1.75
(주)동서,26960,11-Dec,1996-05-22,2016-07-15,4,15.19,-22.12,22.52,12.22,16.4,196.12,88.38,493.51,0.49,0.55
(주)동서,26960,12-Dec,1996-05-22,2016-07-15,4,3.73,25.82,27.29,14.1,17.73,235.21,90.0,893.49,0.46,0.52
(주)동서,26960,13-Dec,1996-05-22,2016-07-15,4,2.32,1.02,26.89,13.04,17.17,239.2,90.2,964.78,0.44,0.49
(주)동서,26960,14-Dec,1996-05-22,2016-07-15,4,6.86,3.1,26.06,12.48,16.86,262.64,91.37,1384.59,0.44,0.48
(주)동서,26960,15-Dec,1996-05-22,2016-07-15,4,1.34,-4.65,24.53,11.18,15.37,244.79,90.74,1220.25,0.42,0.46
(주)동성하이켐,13450,11-Dec,1999-06-11,2015-07-20,4,,,,,,,,,,
(주)동성하이켐,13450,12-Dec,1999-06-11,2015-07-20,4,,,,,,,,,,
(주)동성하이켐,13450,13-Dec,1999-06-11,2015-07-20,4,,,,,,,,,,
(주)동성하이켐,13450,14-Dec,1999-06-11,2015-07-20,4,,,,,,,,,,
(주)드림티엔터테인먼트,220110,14-Dec,2015-06-24,2020-04-10,4,,,,,,,,,,
(주)드림티엔터테인먼트,220110,15-Dec,2015-06-24,2020-04-10,4,0.0,0.0,5.07,31.9,13.08,182.75,10.82,71.59,0.64,5.94
(주)드림티엔터테인먼트,220110,16-Dec,2015-06-24,2020-04-10,4,12.98,0.0,-2.99,-19.55,21.36,570.08,48.42,117.96,0.95,4.0
(주)드림티엔터테인먼트,220110,17-Dec,2015-06-24,2020-04-10,4,52.1,0.0,3.85,9.56,21.24,890.15,29.09,113.84,1.53,4.24
(주)드림티엔터테인먼트,220110,18-Dec,2015-06-24,2020-04-10,4,-42.33,-1178.26,-39.94,-189.23,-96.26,-937.92,14.62,69.71,1.22,4.46
(주)드림티엔터테인먼트,220110,19-Dec,2015-06-24,2020-04-10,4,,,,,,,,,,
(주)디아이디,74130,11-Dec,2005-07-27,2015-07-23,4,33.63,0.0,-2.43,-36.02,5.83,12.52,17.1,75.21,2.69,11.9
(주)디아이디,74130,12-Dec,2005-07-27,2015-07-23,4,6.39,0.0,1.74,26.82,19.83,47.45,23.53,82.26,2.33,11.42
(주)디아이디,74130,13-Dec,2005-07-27,2015-07-23,4,-13.02,0.0,-6.72,-119.38,15.52,115.04,14.15,101.09,2.3,11.69
(주)디아이디,74130,14-Dec,2005-07-27,2015-07-23,4,-73.35,0.0,-6.02,-95.83,38.35,109.18,7.99,60.71,1.01,8.3
(주)디에스,51710,11-Dec,2004-06-18,2013-05-01,4,-41.54,0.0,-4.95,-131.56,5.27,12.61,9.45,51.99,2.24,21.89
(주)디에스,51710,12-Dec,2004-06-18,2013-05-01,4,,,,,,,,,,
(주)디에이치패션,45260,11-Dec,2001-11-08,2012-08-01,4,-20.44,0.0,-183.56,-28.38,-13.0,-32.42,95.06,2170.05,0.12,0.15
(주)디지텍시스템스,91690,11-Dec,2007-07-04,2015-01-21,4,1.36,-74.16,3.57,4.31,13.41,45.53,62.59,290.63,0.84,1.25
(주)디지텍시스템스,91690,12-Dec,2007-07-04,2015-01-21,4,,,,,,,,,,
(주)디지텍시스템스,91690,13-Dec,2007-07-04,2015-01-21,4,,,,,,,,,,
(주)디피앤케이,189700,12-Dec,2014-06-10,2017-08-31,4,,,,,,,,,,
(주)디피앤케이,189700,13-Dec,2014-06-10,2017-08-31,4,,,,,,,,,,
(주)디피앤케이,189700,14-Dec,2014-06-10,2017-08-31,4,0.0,0.0,10.81,26.91,26.53,135.85,50.31,209.37,1.25,2.49
(주)디피앤케이,189700,15-Dec,2014-06-10,2017-08-31,4,,,,,,,,,,
(주)디피앤케이,189700,16-Dec,2014-06-10,2017-08-31,4,,,,,,,,,,
(주)렉스엘이앤지,4790,11-Dec,1995-12-23,2014-03-04,4,-11.38,0.0,0.65,1.23,6.62,24.66,25.44,87.58,0.45,1.9
(주)렉스엘이앤지,4790,12-Dec,1995-12-23,2014-03-04,4,-68.29,0.0,-233.09,-229.36,-76.13,-609.05,0.9,74.27,0.2,0.98
(주)렉스엘이앤지,4790,13-Dec,1995-12-23,2014-03-04,4,-63.4,0.0,-152.41,0.0,-32.21,-137.23,0.0,57.83,0.24,0.0
(주)룩손에너지홀딩스,33550,11-Dec,1998-01-13,2013-05-07,4,80.42,0.0,1.09,5.97,15.47,93.28,26.63,81.84,1.26,5.47
(주)룩손에너지홀딩스,33550,12-Dec,1998-01-13,2013-05-07,4,-39.07,0.0,-24.61,-112.9,-11.67,-60.03,14.25,53.77,1.0,4.59
(주)마이스코,88700,11-Dec,2008-01-25,2013-05-04,4,,,,,,,,,,
(주)마이스코,88700,12-Dec,2008-01-25,2013-05-04,4,,,,,,,,,,
(주)맥스로텍,141070,11-Dec,2012-11-16,2021-09-16,4,,,,,,,,,,
(주)맥스로텍,141070,12-Dec,2012-11-16,2021-09-16,4,,,,,,,,,,
(주)맥스로텍,141070,13-Dec,2012-11-16,2021-09-16,4,,,,,,,,,,
(주)맥스로텍,141070,14-Dec,2012-11-16,2021-09-16,4,,,,,,,,,,
(주)맥스로텍,141070,15-Dec,2012-11-16,2021-09-16,4,,,,,,,,,,
(주)맥스로텍,141070,16-Dec,2012-11-16,2021-09-16,4,,,,,,,,,,
(주)맥스로텍,141070,17-Dec,2012-11-16,2021-09-16,4,,,,,,,,,,
(주)맥스로텍,141070,18-Dec,2012-11-16,2021-09-16,4,,,,,,,,,,
(주)맥스로텍,141070,19-Dec,2012-11-16,2021-09-16,4,,,,,,,,,,
(주)맥스로텍,141070,20-Dec,2012-11-16,2021-09-16,4,,,,,,,,,,
(주)모다,149940,11-Dec,2012-09-25,2020-07-10,4,,,,,,,,,,
(주)모다,149940,12-Dec,2012-09-25,2020-07-10,4,,,,,,,,,,
(주)모다,149940,13-Dec,2012-09-25,2020-07-10,4,,,,,,,,,,
(주)모다,149940,14-Dec,2012-09-25,2020-07-10,4,,,,,,,,,,
(주)모다,149940,15-Dec,2012-09-25,2020-07-10,4,,,,,,,,,,
(주)모다,149940,16-Dec,2012-09-25,2020-07-10,4,0.0,0.0,2.88,-1.23,11.41,206.32,30.84,72.28,0.42,1.36
(주)모다,149940,17-Dec,2012-09-25,2020-07-10,4,26.16,0.0,-36.6,-209.67,3.28,96.79,27.37,73.21,0.39,1.36
(주)모다,149940,18-Dec,2012-09-25,2020-07-10,4,-7.46,0.0,-5.31,-105.84,22.9,442.17,26.49,61.35,0.36,1.32
(주)모다,149940,19-Dec,2012-09-25,2020-07-10,4,-34.89,0.0,-28.28,-159.31,10.51,163.58,18.7,70.07,0.38,1.61
(주)모린스,110310,11-Dec,2009-09-25,2014-04-11,4,,,,,,,,,,
(주)모린스,110310,12-Dec,2009-09-25,2014-04-11,4,,,,,,,,,,
(주)모린스,110310,13-Dec,2009-09-25,2014-04-11,4,0.0,0.0,-74.76,0.0,-43.92,-48.14,0.0,6.25,0.59,0.0
(주)미래SCI,28040,11-Dec,1996-07-27,2021-04-13,4,0.0,0.0,-20.5,-26.11,6.78,10.86,39.0,42.58,0.5,1.27
(주)미래SCI,28040,12-Dec,1996-07-27,2021-04-13,4,0.0,0.0,-75.15,-226.43,-14.85,-18.13,15.23,22.92,0.46,3.01
(주)미래SCI,28040,13-Dec,1996-07-27,2021-04-13,4,-46.48,0.0,-48.58,-50.1,2.27,2.77,32.73,25.64,0.25,1.03
(주)미래SCI,28040,14-Dec,1996-07-27,2021-04-13,4,-31.7,0.0,-141.56,-83.46,-14.12,-17.48,28.38,22.68,0.18,0.59
(주)미래SCI,28040,15-Dec,1996-07-27,2021-04-13,4,88.69,0.0,-29.61,-37.04,4.02,6.43,27.3,49.99,0.35,1.25
(주)미래SCI,28040,16-Dec,1996-07-27,2021-04-13,4,13.73,0.0,-44.17,-51.43,3.41,58.81,36.07,137.59,0.37,1.16
(주)미래SCI,28040,17-Dec,1996-07-27,2021-04-13,4,15.75,0.0,-34.88,-38.43,-6.01,-112.05,34.96,116.57,0.39,1.1
(주)미래SCI,28040,18-Dec,1996-07-27,2021-04-13,4,201.4,0.0,-37.06,-102.28,-24.82,-551.53,35.42,131.56,0.97,2.76
(주)미래SCI,28040,19-Dec,1996-07-27,2021-04-13,4,-74.31,0.0,-139.33,-102.2,-28.1,-539.47,31.1,100.57,0.25,0.73
(주)미래자원엠엘,233190,11-Dec,2015-12-24,2017-12-28,4,,,,,,,,,,
(주)미래자원엠엘,233190,12-Dec,2015-12-24,2017-12-28,4,,,,,,,,,,
(주)미래자원엠엘,233190,13-Dec,2015-12-24,2017-12-28,4,,,,,,,,,,
(주)미래자원엠엘,233190,14-Dec,2015-12-24,2017-12-28,4,,,,,,,,,,
(주)미래자원엠엘,233190,15-Dec,2015-12-24,2017-12-28,4,,,,,,,,,,
(주)미래자원엠엘,233190,16-Dec,2015-12-24,2017-12-28,4,0.0,0.0,4.11,10.39,17.01,305.59,70.1,273.77,1.77,2.53
(주)미래테크놀로지,213090,14-Dec,2015-12-01,2021-10-05,4,,,,,,,,,,
(주)미래테크놀로지,213090,15-Dec,2015-12-01,2021-10-05,4,,,,,,,,,,
(주)미래테크놀로지,213090,16-Dec,2015-12-01,2021-10-05,4,,,,,,,,,,
(주)미래테크놀로지,213090,17-Dec,2015-12-01,2021-10-05,4,0.0,0.0,21.89,8.58,8.1,1006.07,74.54,223.2,0.22,0.3
(주)미래테크놀로지,213090,18-Dec,2015-12-01,2021-10-05,4,44.96,-102.78,-2.15,-0.24,13.15,2273.91,78.03,272.88,0.33,0.44
(주)미래테크놀로지,213090,19-Dec,2015-12-01,2021-10-05,4,10.64,0.0,10.25,5.74,15.6,4909.17,68.59,213.7,0.35,0.49
(주)미래테크놀로지,213090,20-Dec,2015-12-01,2021-10-05,4,-14.74,0.0,-3.05,4.39,10.17,2088.0,72.28,278.62,0.26,0.37
(주)미성포리테크,94700,11-Dec,2007-12-20,2012-04-13,4,-41.46,0.0,-44.18,-331.78,-31.14,-49.54,0.0,34.08,0.62,0.0
(주)바이오빌,65940,11-Dec,2003-01-07,2020-07-31,4,34.81,0.0,-9.54,-5.77,1.72,7.71,66.44,295.87,0.46,0.61
(주)바이오빌,65940,12-Dec,2003-01-07,2020-07-31,4,20.25,0.0,-16.94,-15.02,4.48,24.64,28.92,74.42,0.4,0.88
(주)바이오빌,65940,13-Dec,2003-01-07,2020-07-31,4,1.63,0.0,-27.39,-23.08,2.14,7.26,65.12,102.89,0.39,0.84
(주)바이오빌,65940,14-Dec,2003-01-07,2020-07-31,4,-7.35,0.0,14.92,8.09,15.02,54.25,63.55,106.53,0.36,0.55
(주)바이오빌,65940,15-Dec,2003-01-07,2020-07-31,4,24.13,21.61,14.08,8.4,14.7,92.12,62.73,137.17,0.37,0.59
(주)바이오빌,65940,16-Dec,2003-01-07,2020-07-31,4,7.67,-339.09,-32.23,-16.25,-2.21,-13.63,65.1,376.42,0.33,0.51
(주)바이오빌,65940,17-Dec,2003-01-07,2020-07-31,4,54.11,0.0,-50.01,-36.76,-4.54,-26.89,38.06,69.92,0.32,0.68
(주)바이오빌,65940,18-Dec,2003-01-07,2020-07-31,4,109.66,0.0,-92.4,-170.04,-22.44,-117.28,21.11,50.95,0.46,1.61
(주)바이오빌,65940,19-Dec,2003-01-07,2020-07-31,4,-67.34,0.0,-91.46,-111.07,-18.26,-140.73,9.64,36.14,0.18,1.04
(주)보광티에스,66690,11-Dec,2008-10-06,2012-05-01,4,,,,,,,,,,
(주)본느,242420,14-Dec,2016-05-16,2018-10-29,4,,,,,,,,,,
(주)본느,242420,15-Dec,2016-05-16,2018-10-29,4,,,,,,,,,,
(주)본느,242420,16-Dec,2016-05-16,2018-10-29,4,,,,,,,,,,
(주)본느,242420,17-Dec,2016-05-16,2018-10-29,4,0.0,0.0,12.0,30.68,45.44,3214.78,69.76,322.39,1.78,2.56
(주)블루젬디앤씨,53040,11-Dec,2001-08-09,2012-05-17,4,14.25,0.0,-14.14,-9.89,3.5,9.11,54.84,107.41,0.32,0.7
(주)비앤비성원,15200,11-Dec,1997-01-17,2012-05-01,4,,,,,,,,,,
(주)비앤에스미디어,156170,11-Dec,2013-07-01,2017-07-13,4,,,,,,,,,,
(주)비앤에스미디어,156170,12-Dec,2013-07-01,2017-07-13,4,,,,,,,,,,
(주)비앤에스미디어,156170,13-Dec,2013-07-01,2017-07-13,4,,,,,,,,,,
(주)비앤에스미디어,156170,14-Dec,2013-07-01,2017-07-13,4,,,,,,,,,,
(주)비앤에스미디어,156170,15-Dec,2013-07-01,2017-07-13,4,,,,,,,,,,
(주)비앤에스미디어,156170,16-Dec,2013-07-01,2017-07-13,4,,,,,,,,,,
(주)비엔씨컴퍼니,58370,11-Dec,2002-02-19,2017-05-08,4,,,,,,,,,,
