,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]매출액증가율(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]유동비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]순이익증가율(IFRS연결),상장폐지사유,회계월,상장년도,회계년,연차
30,(주)녹십자셀,31390,2020-12-01,1998-09-25,2021-11-17,4,  의료용 물질 및 의약품 제조업,7.74,2.14,4.93,139.22,58.32,0.25,0.44,11.44,19.69,-81.96,,12,1998,2020,22
31,(주)뉴로스,126870,2013-12-01,2012-02-15,2022-10-26,4,  기타 기계 및 장비 제조업,14.98,8.73,7.91,159.69,53.0,0.6,1.1,17.51,73.05,6.91,,12,2012,2013,1
32,(주)뉴로스,126870,2014-12-01,2012-02-15,2022-10-26,4,  기타 기계 및 장비 제조업,-5.3,0.82,0.87,148.32,48.65,0.48,0.94,11.06,54.36,-89.59,,12,2012,2014,2
33,(주)뉴로스,126870,2015-12-01,2012-02-15,2022-10-26,4,  기타 기계 및 장비 제조업,20.95,1.33,1.4,276.22,62.53,0.53,0.95,12.74,62.26,94.97,,12,2012,2015,3
34,(주)뉴로스,126870,2016-12-01,2012-02-15,2022-10-26,4,  기타 기계 및 장비 제조업,4.28,2.18,2.47,142.22,48.1,0.48,0.88,13.21,39.65,83.53,,12,2012,2016,4
35,(주)뉴로스,126870,2017-12-01,2012-02-15,2022-10-26,4,  기타 기계 및 장비 제조업,1.53,-10.83,-12.36,143.02,42.46,0.39,0.88,6.43,22.01,-608.77,,12,2012,2017,5
36,(주)뉴로스,126870,2018-12-01,2012-02-15,2022-10-26,4,  기타 기계 및 장비 제조업,14.64,-13.46,-14.68,104.75,37.48,0.37,0.93,2.1,8.71,0.0,,12,2012,2018,6
37,(주)뉴로스,126870,2019-12-01,2012-02-15,2022-10-26,4,  기타 기계 및 장비 제조업,15.59,-41.14,-42.37,119.33,37.16,0.37,0.98,-6.0,-27.71,0.0,,12,2012,2019,7
38,(주)뉴로스,126870,2020-12-01,2012-02-15,2022-10-26,4,  기타 기계 및 장비 제조업,-23.12,-96.76,-106.47,83.09,29.16,0.32,0.94,-25.05,-85.8,0.0,,12,2012,2020,8
39,(주)대국,42340,2011-12-01,2000-06-22,2012-04-13,4,  도매 및 상품 중개업,,,,,,,,,,,,12,2000,2011,11
40,(주)더블유게임즈,192080,2016-12-01,2015-11-04,2019-03-12,5,  출판업,0.0,12.91,31.3,562.11,86.56,0.36,0.41,16.63,6437.66,0.0,유가증권시장상장,12,2015,2016,1
41,(주)더블유게임즈,192080,2017-12-01,2015-11-04,2019-03-12,5,  출판업,105.19,9.04,11.16,34.19,40.58,0.45,0.82,10.63,5547.41,-27.59,유가증권시장상장,12,2015,2017,2
42,(주)데코앤이,17680,2011-12-01,1993-09-03,2019-11-20,4,"  의복, 의복 액세서리 및 모피제품 제조업",51.1,-6.84,-0.65,113.0,15.24,1.48,10.52,21.46,394.49,0.0,,12,1993,2011,18
43,(주)데코앤이,17680,2012-12-01,1993-09-03,2019-11-20,4,"  의복, 의복 액세서리 및 모피제품 제조업",-12.85,-10.19,-1.08,116.01,19.71,1.63,9.47,25.22,415.85,0.0,,12,1993,2012,19
44,(주)데코앤이,17680,2013-12-01,1993-09-03,2019-11-20,4,"  의복, 의복 액세서리 및 모피제품 제조업",-20.09,56.95,10.56,128.12,32.42,1.42,5.39,35.56,1072.73,0.0,,12,1993,2013,20
45,(주)데코앤이,17680,2014-12-01,1993-09-03,2019-11-20,4,"  의복, 의복 액세서리 및 모피제품 제조업",-19.24,-22.57,-6.07,160.09,48.55,1.42,3.72,13.9,535.56,0.0,,12,1993,2014,21
46,(주)데코앤이,17680,2015-12-01,1993-09-03,2019-11-20,4,"  의복, 의복 액세서리 및 모피제품 제조업",-40.55,-15.02,-6.84,184.0,58.92,1.18,2.2,13.07,517.42,0.0,,12,1993,2015,22
47,(주)데코앤이,17680,2016-12-01,1993-09-03,2019-11-20,4,"  의복, 의복 액세서리 및 모피제품 제조업",-13.01,-26.12,-15.66,209.93,64.99,1.03,1.67,7.29,170.48,0.0,,12,1993,2016,23
