회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결)(원),[제조]총자본순이익률(IFRS연결)(원),[제조]1주당매출액(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결)(백만원),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)씨제이이엔엠,035760,2012/12,1999/11/23,,5,    텔레비전 방송업,22.87,14.62,14.65,53.31,58.02,21.03,24.67,42.19,56.9,9.42,29.8,12.22,8.64,321103.21,26577,65.76,56.37,11.97,-13.82,155.63,7.52,187.8,26.53,39.12,1894.52,0.92,2.51,1.21,26.91,11.2,33.57,10.87,13.56,32.58,0.03,0.22,1.36,2.78,3.8,4.42,643421.75,26.89,85.74,116.11,32.3,27.84,72.16,29.15
(주)씨제이이엔엠,035760,2013/12,1999/11/23,,5,    텔레비전 방송업,26.65,19.15,28.53,21.45,9.69,29.56,26.18,-15.72,49.96,6.63,19.98,10.07,6.14,405116.12,22396,84.19,73.33,22.09,-4.78,159.24,7.19,193.28,25.44,38.57,2453.97,0.93,2.39,1.25,26.45,8.56,34.86,10.47,13.8,42.62,0.02,6.81,1.53,3,3.57,4.13,757052.74,24.98,84.94,111.77,30.12,34.81,65.19,22
(주)씨젠,096530,2011/12,2010/09/10,,5,    기타 화학제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)씨젠,096530,2012/12,2010/09/10,,5,    기타 화학제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)씨젠,096530,2013/12,2010/09/10,,5,    기타 화학제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)씨티씨바이오,060590,2011/12,2002/02/21,,5,    생활용품 도매업,19.31,29.34,24.67,15.55,33.03,15.55,6.77,0,27.87,-0.91,-2.02,0.98,-0.99,7631.64,0,135.03,80.97,11.02,14.76,108.25,0.27,89.75,56.9,48.02,727.71,1.1,2.25,2.59,5.05,4.15,22.7,16.08,72.34,87.95,0.01,0,1.07,4.16,1.9,3.04,13254.36,14.2,58,410.89,14.11,75.14,24.86,-6.43
(주)씨티씨바이오,060590,2012/12,2002/02/21,,5,    생활용품 도매업,34.32,16.63,9.34,53.23,32.73,39.15,38.12,0,31.15,6.3,15.28,10.53,7.48,9113.3,604,155.36,101.49,22.11,23.13,100.9,5.66,70.49,64.91,49.77,875.48,1.19,2.42,3.08,5.25,4.32,25.71,14.19,69.58,84.53,0.01,0,1.15,4.7,1.93,3.05,26336.65,21.01,108.57,556.73,20.29,47.06,52.94,31.06
(주)씨티씨바이오,060590,2013/12,2002/02/21,,5,    생활용품 도매업,20.03,12.86,19.16,20.5,-4.7,47.89,-4.93,-89.44,27.16,0.69,1.12,2.09,0.62,7312.82,51,206.85,150.12,10.99,33.66,63.16,1.49,56.83,65.17,61.29,1058.13,0.89,1.6,2.56,4.48,3.4,19.16,19.05,81.52,107.25,0.01,0,0.88,3.9,1.38,1.98,17002.35,11.3,69.83,359.75,13.78,73.92,26.08,5.04
(주)씨티앤티,050470,2011/12,2002/04/23,2012/05/01,4,    자동차용 엔진 및 자동차 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)씨티프라퍼티,052300,2011/12,2001/08/02,,5,    기타 운송관련 서비스업,0,0,0,0,0,0,0,0,17.63,-14.95,-29.59,-12.63,-23.68,787.3,-118,389.04,320.67,81.4,49.94,24.97,-38.52,40.97,67.22,80.02,79.57,1.58,1.98,4.83,13.4,14.52,13.18,27.7,27.23,25.13,0.04,0.07,1.87,12.68,2.36,2.86,1888.87,9.31,74.58,11506.95,5.88,250.45,-150.45,-254.31
(주)씨티프라퍼티,052300,2012/12,2001/08/02,,5,    기타 운송관련 서비스업,0,0,0,0,0,0,0,0,16.96,-13.56,-21.11,-4.33,-7.11,637.89,-95,106.4,106.29,55.56,1.82,110.67,-4.04,146.93,30.26,47.47,80.59,0.52,1.1,0.75,1671.4,4.67,2.28,160.37,0.22,78.16,0,0,0.89,23.6,1.73,1.73,795.59,1.58,71.11,933.67,3.01,273.94,-173.94,-450.18
(주)씨티프라퍼티,052300,2013/12,2001/08/02,,5,    기타 운송관련 서비스업,8.68,23.01,-5.17,40.6,212.77,-5.67,139.59,0,25.05,0.8,-10,5.68,0.96,1158.42,-35,128.52,128.22,62.11,8.69,134.24,1.7,142.54,39.15,42.69,64.66,1.2,2.68,1.85,1940.32,9.36,5.98,61.06,0.19,38.98,0,0,1.87,50.72,3.45,3.46,27324.42,49.93,1985.5,11364.96,43.19,16.95,83.05,1.86
(주)아가방앤컴퍼니,013990,2011/12,2002/01/17,,5,    생활용품 도매업,7.09,14.7,6.66,7.5,29.39,7.66,1.35,-42.12,42.24,3.48,4.9,5.24,3.42,7310.57,255,370.91,260.06,27.52,37.27,43.42,28.43,70.24,51.02,69.73,1072.31,0.98,1.41,2,7.03,3.74,15.34,23.79,51.94,97.56,0.01,0,1.54,3.76,1.93,2.66,31025.75,14.4,57.31,9160.27,15.16,54.74,45.26,22.99
(주)아가방앤컴퍼니,013990,2012/12,2002/01/17,,5,    생활용품 도매업,-3.54,9.96,-4.52,-2.59,16.78,-0.95,-0.81,-63.9,41.46,1.26,1.71,2.64,1.21,7251.36,91,435.15,279.24,55.76,39.68,39.8,13.09,67.77,51.52,71.53,1062.11,0.96,1.36,1.97,5.7,3.96,15.28,23.88,64.03,92.18,0.01,0,1.5,3.33,1.87,2.78,26803.13,12.89,44.75,0,13.2,65.84,34.16,9.56
(주)아가방앤컴퍼니,013990,2013/12,2002/01/17,,5,    생활용품 도매업,-0.24,32.9,-0.51,0.01,9.23,0.83,-4.17,-3.31,41.4,1.27,1.66,2.11,1.19,6949,88,424.99,258.69,40.93,39.5,38.31,9.64,66.87,51.65,72.3,1070.96,0.94,1.3,1.94,4.85,4.16,15.34,23.8,75.31,87.65,0.01,0,1.47,2.61,1.82,2.91,25858.82,12.47,31.98,19938.95,13.29,65.76,34.24,9.58
(주)아나패스,123860,2011/12,2010/11/05,,5,    반도체 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아나패스,123860,2012/12,2010/11/05,,5,    반도체 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아나패스,123860,2013/12,2010/11/05,,5,    반도체 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아난티,025980,2011/12,1996/01/06,,5,    스포츠 서비스업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아난티,025980,2012/12,1996/01/06,,5,    스포츠 서비스업,0,0,0,0,0,0,0,0,27.86,-9.39,-8.36,-0.21,-1.13,2500.76,-235,147.98,120.78,45.22,7.2,641.06,-0.54,576.51,22.2,13.49,561.95,0.12,0.89,0.15,2.94,3.78,199.37,1.83,124.03,96.47,0,0,0.32,0.16,0.54,0.66,7953.58,3.48,4.74,3222.45,28.94,74.54,25.46,-32.45
