총자본순이익률_차이,총자본순이익률_비율,총자본순이익률_상위10개_차이,총자본순이익률_상위10개_변동성,총자본순이익률_산업평균_차이,총자본순이익률_산업평균_변동성,매출액증가율_차이,매출액증가율_비율,매출액증가율_상위10개_차이,매출액증가율_상위10개_변동성,매출액증가율_산업평균_차이,매출액증가율_산업평균_변동성,자기자본순이익률_차이,자기자본순이익률_비율,자기자본순이익률_상위10개_차이,자기자본순이익률_상위10개_변동성,자기자본순이익률_산업평균_차이,자기자본순이익률_산업평균_변동성,매출액순이익률_차이,매출액순이익률_비율,매출액순이익률_상위10개_차이,매출액순이익률_상위10개_변동성,매출액순이익률_산업평균_차이,매출액순이익률_산업평균_변동성,유동비율_차이,유동비율_비율,유동비율_상위10개_차이,유동비율_상위10개_변동성,유동비율_산업평균_차이,유동비율_산업평균_변동성,자기자본구성비율_차이,자기자본구성비율_비율,자기자본구성비율_상위10개_차이,자기자본구성비율_상위10개_변동성,자기자본구성비율_산업평균_차이,자기자본구성비율_산업평균_변동성,총자본회전률_차이,총자본회전률_비율,총자본회전률_상위10개_차이,총자본회전률_상위10개_변동성,총자본회전률_산업평균_차이,총자본회전률_산업평균_변동성,자기자본회전률_차이,자기자본회전률_비율,자기자본회전률_상위10개_차이,자기자본회전률_상위10개_변동성,자기자본회전률_산업평균_차이,자기자본회전률_산업평균_변동성,총자본투자효율_차이,총자본투자효율_비율,총자본투자효율_상위10개_차이,총자본투자효율_상위10개_변동성,총자본투자효율_산업평균_차이,총자본투자효율_산업평균_변동성,설비투자효율_차이,설비투자효율_비율,설비투자효율_상위10개_차이,설비투자효율_상위10개_변동성,설비투자효율_산업평균_차이,설비투자효율_산업평균_변동성,순이익증가율_차이,순이익증가율_비율,순이익증가율_상위10개_차이,순이익증가율_상위10개_변동성,순이익증가율_산업평균_차이,순이익증가율_산업평균_변동성,label
3.36,-0.38,-27.65,27.65,-4.96,4.96,-13.61,2.87,-867.7,867.7,-35.24,35.24,-3.18,0.19,-69.94,69.94,-16.18,16.18,-5.16,0.44,-128.19,128.19,-7.44,7.44,-61.97,-0.64,-2518.33,2518.33,-237.66,237.66,-13.14,-0.28,-62.36,62.36,-23.84,23.84,-0.43,-0.57,-3.17,3.17,-0.61,0.61,-0.41,-0.29,-13.22,13.22,-1.04,1.04,19.17,10.06,-57.94,57.94,1.72,1.72,16.57,1.86,-9591.56,9591.56,-215.78,215.78,95.43,-1.0,-3905.49,3905.49,-63.74,63.74,0.0
-21.85,-9.63,-41.65,41.65,-18.96,18.96,-0.99,0.1,-859.94,859.94,-27.48,27.48,-45.32,-14.07,-92.3,92.3,-38.54,38.54,-58.05,-21.5,-166.56,166.56,-45.81,45.81,-171.84,-0.63,-2450.65,2450.65,-169.98,169.98,-21.31,-0.31,-49.16,49.16,-10.64,10.64,-0.49,-0.58,-3.15,3.15,-0.59,0.59,-0.43,-0.36,-13.45,13.45,-1.27,1.27,-7.72,-0.97,-77.04,77.04,-17.38,17.38,-72.35,-0.97,-9614.78,9614.78,-239.0,239.0,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
2.85,0.7,-15.13,15.13,7.56,7.56,-2.34,1.41,-853.34,853.34,-20.88,20.88,3.16,0.69,-42.5,42.5,11.27,11.27,6.93,0.91,-96.7,96.7,24.05,24.05,-59.81,-0.08,-1846.23,1846.23,434.44,434.44,0.0,0.0,-5.64,5.64,32.88,32.88,-0.06,-0.11,-3.02,3.02,-0.46,0.46,-0.07,-0.12,-13.68,13.68,-1.5,1.5,3.24,0.17,-54.49,54.49,5.17,5.17,13.57,0.18,-9526.63,9526.63,-150.85,150.85,137.46,-2.56,-3821.65,3821.65,20.1,20.1,0.0
-0.9,0.25,-26.62,26.62,-3.93,3.93,15.21,2.44,-827.9,827.9,4.56,4.56,-0.7,0.08,-59.38,59.38,-5.62,5.62,-0.59,0.17,-115.35,115.35,5.4,5.4,9.22,0.07,-2409.9,2409.9,-129.23,129.23,5.37,0.11,-43.16,43.16,-4.64,4.64,0.07,0.07,-2.4,2.4,0.16,0.16,-0.17,-0.07,-11.99,11.99,0.19,0.19,-3.42,-0.15,-57.21,57.21,2.45,2.45,-4.47,-0.05,-9532.98,9532.98,-157.2,157.2,-42.89,-1.25,-3914.2,3914.2,-72.45,72.45,0.0
-11.86,1.8,-40.51,40.51,-17.82,17.82,-21.18,-1.19,-852.73,852.73,-20.27,20.27,-12.28,1.8,-69.32,69.32,-15.55,15.55,-99.24,2.07,-258.47,258.47,-137.72,137.72,-354.04,-0.2,-1093.58,1093.58,1187.09,1187.09,-0.79,-0.01,-0.39,1.44,36.28,38.91,-0.01,-0.07,-3.3,3.3,-0.8,0.81,-0.01,-0.07,-14.08,14.08,-1.77,1.9,-4.44,-1.2,-78.0,78.0,-18.34,18.34,-15.94,-1.16,-9619.24,9619.24,-243.46,243.46,-126.85,-1.71,-3957.96,3957.96,-116.21,116.21,0.0
1.41,0.76,-18.81,18.81,3.88,3.88,-2.58,-0.12,-830.06,830.06,2.4,2.4,5.87,0.91,-37.9,37.9,15.86,15.86,0.9,0.81,-109.2,109.2,11.55,11.55,-7.87,-0.08,-2456.4,2456.4,-175.73,175.73,-0.2,-0.01,-69.47,69.47,-30.95,30.95,-0.05,-0.03,-1.88,1.88,0.68,0.68,0.41,0.07,-8.04,8.04,4.14,4.14,9.96,0.82,-55.08,55.08,4.58,4.58,23.57,0.57,-9552.28,9552.28,-176.5,176.5,6.08,0.06,-3792.04,3792.04,49.71,49.71,0.0
0.75,0.46,-19.68,19.68,3.01,3.01,-7.15,-1.01,-849.41,849.41,-16.95,16.95,3.68,0.95,-42.66,42.66,11.1,11.1,0.66,0.44,-109.06,109.06,11.69,11.69,-13.11,-0.17,-2486.99,2486.99,-206.32,206.32,-9.39,-0.23,-63.94,63.94,-25.42,25.42,0.01,0.01,-2.39,2.39,0.17,0.17,0.91,0.35,-10.71,10.71,1.47,1.47,13.87,1.69,-55.2,55.2,4.46,4.46,-35.41,-0.5,-9581.26,9581.26,-205.48,205.48,412.97,-15.8,-3518.66,3518.66,323.09,323.09,0.0
0.0,0.0,-25.31,25.31,-2.62,2.62,0.0,0.0,-883.78,883.78,-51.32,51.32,0.0,0.0,-124.9,124.9,-71.13,71.13,0.0,0.0,-141.37,141.37,-20.62,20.62,0.0,0.0,-2545.29,2545.29,-264.62,264.62,0.0,0.0,-87.15,87.15,-49.29,49.29,0.0,0.0,-3.3,3.3,-0.8,0.83,0.0,0.0,-11.57,11.57,0.61,0.61,0.0,0.0,-69.56,69.56,-9.9,9.9,0.0,0.0,-9487.8,9487.8,-112.02,112.02,0.0,0.0,-3905.49,3905.49,-63.74,63.74,1.0
-0.8,0.69,-24.03,24.03,-1.34,1.34,-9.68,-1.07,-849.95,849.95,-17.49,17.49,-1.97,0.78,-54.7,54.7,-0.94,0.94,-1.2,0.7,-114.12,114.12,6.63,6.63,-5.83,-0.06,-2453.17,2453.17,-172.5,172.5,-0.42,-0.01,-56.37,56.37,-17.85,17.85,-0.01,-0.01,-2.83,2.83,-0.27,0.27,0.06,0.04,-12.51,12.51,-0.33,0.33,0.98,0.1,-66.86,66.86,-7.2,7.2,1.55,0.09,-9597.77,9597.77,-221.99,221.99,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
0.26,-0.02,-32.6,32.6,-9.91,9.91,179.58,-12.63,-683.98,683.98,148.48,148.48,4.03,-0.38,-56.76,56.76,-2.99,2.99,47.87,-0.63,-139.54,139.54,-18.79,18.79,133.96,0.72,-2231.84,2231.84,48.83,48.83,12.11,0.17,-12.53,12.53,25.99,25.99,0.23,1.64,-3.13,3.13,-0.57,0.57,0.28,1.4,-13.73,13.73,-1.55,1.55,5.21,-3.05,-73.76,73.76,-14.1,14.1,1099.67,-2.14,-9030.47,9030.47,345.31,345.31,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
0.35,0.33,-20.67,20.67,2.02,2.02,5.51,1.02,-838.45,838.45,-5.99,5.99,1.25,0.28,-44.46,44.46,9.3,9.3,0.21,0.2,-109.95,109.95,10.8,10.8,2.86,0.05,-2492.62,2492.62,-211.95,211.95,3.39,0.15,-69.51,69.51,-30.99,30.99,0.11,0.11,-2.39,2.39,0.17,0.17,0.31,0.07,-9.65,9.65,2.53,2.53,6.04,0.29,-50.08,50.08,9.58,9.58,6.44,0.15,-9567.54,9567.54,-191.76,191.76,31.89,11706.0,-3873.6,3873.6,-31.85,31.85,0.0
3.96,-0.48,-26.4,26.4,-3.71,3.71,-33.83,-1.27,-856.6,856.6,-24.14,24.14,12.82,-0.4,-69.1,69.1,-15.34,15.34,16.78,-0.43,-133.2,133.2,-12.45,12.45,-7.64,-0.33,-2537.65,2537.65,-256.98,256.98,2.06,0.09,-71.65,71.65,-33.13,33.13,-0.01,-0.05,-3.3,3.3,-0.74,0.74,0.04,0.05,-13.35,13.35,-1.17,1.17,4.2,6.18,-72.38,72.38,-12.72,12.72,310.48,20.19,-9296.88,9296.88,78.9,78.9,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-1.77,-0.1,-6.52,7.65,16.17,16.17,-43.28,-4.47,-882.93,882.93,-50.47,50.47,-51.19,-0.58,-13.78,20.97,39.99,39.99,-1.67,-0.13,-100.38,100.38,20.37,20.37,50.99,0.65,-2423.66,2423.66,-142.99,142.99,16.12,0.47,-45.51,45.51,-6.99,6.99,0.05,0.04,-2.06,2.06,0.5,0.5,-2.81,-0.52,-10.85,10.85,1.33,1.33,1.51,0.05,-42.71,42.71,16.95,16.95,19.37,0.26,-9524.43,9524.43,-148.65,148.65,81.48,-1.0,-3905.49,3905.49,-63.74,63.74,0.0
10.56,-0.39,-38.87,38.87,-16.18,16.18,26.69,-32.72,-822.76,822.76,9.7,9.7,13.49,-0.37,-72.94,72.94,-19.18,19.18,47.8,-0.37,-191.03,191.03,-70.28,70.28,755.1,5.4,-229.53,1183.81,1637.68,2770.81,-8.47,-0.11,-24.63,24.63,13.89,13.89,0.0,0.0,-3.29,3.29,-0.73,0.73,0.0,0.0,-13.93,13.93,-1.75,1.75,14.99,-0.66,-85.03,85.03,-25.37,25.37,-477.96,0.05,-19248.83,19248.83,-3087.04,9873.05,-39.55,-0.75,-3892.01,3892.01,-50.26,50.26,0.0
-10.0,-1.49,-25.35,25.35,-2.66,2.66,-7.79,0.52,-871.97,871.97,-39.51,39.51,-17.62,-1.34,-54.68,54.68,-0.92,0.92,-9.34,-1.55,-114.51,114.51,6.24,6.24,-18.21,-0.16,-2456.05,2456.05,-175.38,175.38,-0.9,-0.01,-35.9,35.9,2.62,2.62,-0.11,-0.1,-2.5,2.5,0.06,0.06,-0.53,-0.24,-12.56,12.56,-0.38,0.38,-12.77,-0.49,-64.1,64.1,-4.44,4.44,-32.31,-0.54,-9589.82,9589.82,-214.04,214.04,26.15,-1.0,-3905.49,3905.49,-63.74,63.74,0.0
2.43,1.07,-17.37,17.37,5.32,5.32,-10.29,0.58,-877.52,877.52,-45.06,45.06,5.4,1.03,-39.54,39.54,14.22,14.22,1.36,1.12,-108.64,108.64,12.11,12.11,-2.38,-0.02,-2433.01,2433.01,-152.34,152.34,-0.45,-0.01,-51.74,51.74,-13.22,13.22,-0.05,-0.03,-1.67,1.67,0.89,0.89,-0.22,-0.05,-10.07,10.07,2.11,2.11,-0.19,-0.02,-66.16,66.16,-6.5,6.5,-12.15,-0.14,-9539.47,9539.47,-163.69,163.69,-28.13,0.64,-3977.39,3977.39,-135.64,135.64,0.0
-1.77,-0.14,-11.3,11.3,11.39,11.39,-28.36,-0.92,-847.0,847.0,-14.54,14.54,-5.65,-0.27,-34.56,34.56,19.21,19.21,-0.19,-0.01,-97.76,97.76,22.99,22.99,34.07,0.16,-2303.46,2303.46,-22.79,22.79,6.04,0.09,-20.47,20.47,18.05,18.05,-0.12,-0.13,-2.7,2.7,-0.14,0.14,-0.17,-0.13,-13.1,13.1,-0.92,0.92,-0.45,-0.01,-41.28,41.28,18.38,18.38,6.52,0.08,-9528.44,9528.44,-152.66,152.66,-57.58,-1.23,-3916.18,3916.18,-74.43,74.43,0.0
9.65,-3.8,-14.96,14.96,7.73,7.73,112.35,-2.32,-785.47,785.47,46.99,46.99,12.63,-3.55,-41.14,41.14,12.63,12.63,13.14,-2.61,-103.11,103.11,17.64,17.64,153.96,0.41,-2027.25,2027.25,253.42,253.42,10.05,0.14,-12.16,12.16,26.36,26.36,0.38,0.76,-2.62,2.62,-0.06,0.06,0.41,0.58,-13.09,13.09,-0.91,0.91,12.56,1.32,-55.16,55.16,4.5,4.5,60.49,1.45,-9514.9,9514.9,-139.12,139.12,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
