총자본순이익률_차이,총자본순이익률_비율,총자본순이익률_상위10개_차이,총자본순이익률_상위10개_변동성,총자본순이익률_산업평균_차이,총자본순이익률_산업평균_변동성,매출액증가율_차이,매출액증가율_비율,매출액증가율_상위10개_차이,매출액증가율_상위10개_변동성,매출액증가율_산업평균_차이,매출액증가율_산업평균_변동성,자기자본순이익률_차이,자기자본순이익률_비율,자기자본순이익률_상위10개_차이,자기자본순이익률_상위10개_변동성,자기자본순이익률_산업평균_차이,자기자본순이익률_산업평균_변동성,매출액순이익률_차이,매출액순이익률_비율,매출액순이익률_상위10개_차이,매출액순이익률_상위10개_변동성,매출액순이익률_산업평균_차이,매출액순이익률_산업평균_변동성,유동비율_차이,유동비율_비율,유동비율_상위10개_차이,유동비율_상위10개_변동성,유동비율_산업평균_차이,유동비율_산업평균_변동성,자기자본구성비율_차이,자기자본구성비율_비율,자기자본구성비율_상위10개_차이,자기자본구성비율_상위10개_변동성,자기자본구성비율_산업평균_차이,자기자본구성비율_산업평균_변동성,총자본회전률_차이,총자본회전률_비율,총자본회전률_상위10개_차이,총자본회전률_상위10개_변동성,총자본회전률_산업평균_차이,총자본회전률_산업평균_변동성,자기자본회전률_차이,자기자본회전률_비율,자기자본회전률_상위10개_차이,자기자본회전률_상위10개_변동성,자기자본회전률_산업평균_차이,자기자본회전률_산업평균_변동성,총자본투자효율_차이,총자본투자효율_비율,총자본투자효율_상위10개_차이,총자본투자효율_상위10개_변동성,총자본투자효율_산업평균_차이,총자본투자효율_산업평균_변동성,설비투자효율_차이,설비투자효율_비율,설비투자효율_상위10개_차이,설비투자효율_상위10개_변동성,설비투자효율_산업평균_차이,설비투자효율_산업평균_변동성,순이익증가율_차이,순이익증가율_비율,순이익증가율_상위10개_차이,순이익증가율_상위10개_변동성,순이익증가율_산업평균_차이,순이익증가율_산업평균_변동성,label
1.1,0.22,-16.07,16.07,6.62,6.62,-11.06,0.52,-881.75,881.75,-49.29,49.29,1.71,0.28,-42.46,42.46,11.31,11.31,1.23,0.3,-105.83,105.83,14.92,14.92,-12.74,-0.05,-2296.8,2296.8,-16.13,16.13,-2.25,-0.03,-19.32,19.32,19.2,19.2,-0.07,-0.06,-2.39,2.39,0.17,0.17,-0.01,-0.01,-12.77,12.77,-0.59,0.59,0.26,0.01,-53.85,53.85,5.81,5.81,11.37,0.16,-9534.38,9534.38,-158.6,158.6,-7.01,-1.0,-3905.49,3905.49,-63.74,63.74,0.0
9.61,-2.25,-16.74,16.74,5.95,5.95,8.8,0.22,-800.76,800.76,31.7,31.7,20.82,-2.62,-37.34,37.34,16.43,16.43,5.05,-2.14,-108.52,108.52,12.23,12.23,2.1,0.02,-2427.86,2427.86,-147.19,147.19,-7.25,-0.16,-56.71,56.71,-18.19,18.19,0.17,0.09,-1.52,1.52,1.04,1.04,1.37,0.41,-9.48,9.48,2.7,2.7,15.35,1.51,-51.75,51.75,7.91,7.91,38.03,1.07,-9543.35,9543.35,-167.57,167.57,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-0.37,-0.03,-10.72,10.72,11.97,11.97,-12.57,-0.62,-841.52,841.52,-9.06,9.06,1.39,0.09,-33.03,33.03,20.73,20.73,-0.38,-0.04,-101.82,101.82,18.93,18.93,-38.44,-0.16,-2346.91,2346.91,-66.24,66.24,-14.94,-0.2,-35.63,35.63,2.89,2.89,0.01,0.01,-2.29,2.29,0.27,0.27,0.21,0.13,-12.38,12.38,-0.2,0.2,-2.56,-0.08,-48.35,48.35,11.31,11.31,-66.46,-0.41,-9521.37,9521.37,-145.59,145.59,-47.08,-0.94,-3902.65,3902.65,-60.9,60.9,0.0
8.87,-6.29,-14.61,14.61,8.08,8.08,-14.1,-0.65,-841.91,841.91,-9.45,9.45,26.16,-14.86,-25.8,25.8,27.96,27.96,8.89,-1.44,-108.5,108.5,12.25,12.25,-315.78,-0.7,-2418.31,2418.31,-137.64,137.64,-40.85,-0.63,-64.08,64.08,-25.56,25.56,0.91,3.34,-0.74,0.74,1.68,1.68,2.84,5.46,-5.48,5.48,6.34,6.34,13.7,1.63,-55.17,55.17,4.49,4.49,67.49,2.34,-9520.76,9520.76,-144.98,144.98,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
1.99,0.26,-12.35,12.35,10.34,10.34,60.39,-8.14,-796.37,796.37,36.09,36.09,2.84,0.32,-38.44,38.44,15.33,15.33,-0.63,-0.05,-98.14,98.14,22.61,22.61,-201.0,-0.31,-2095.02,2095.02,185.65,185.65,-5.03,-0.06,-15.33,15.33,23.19,23.19,0.18,0.32,-2.76,2.76,-0.2,0.2,0.25,0.38,-13.31,13.31,-1.13,1.13,3.34,0.25,-60.41,60.41,-0.75,0.75,46.89,0.48,-9471.87,9471.87,-96.09,96.09,-689.33,-0.94,-3859.54,3859.54,-17.79,17.79,0.0
-6.48,-15.43,-28.13,28.13,-5.44,5.44,10.96,-0.58,-857.26,857.26,-24.8,24.8,-19.41,-14.07,-68.24,68.24,-14.47,14.47,-13.1,-16.17,-123.5,123.5,-2.75,2.75,-31.67,-0.32,-2486.05,2486.05,-205.38,205.38,-3.05,-0.09,-64.29,64.29,-25.77,25.77,-0.03,-0.06,-3.01,3.01,-0.45,0.45,0.04,0.03,-12.72,12.72,-0.54,0.54,-5.05,-0.27,-63.89,63.89,-4.23,4.23,-17.79,-0.36,-9584.9,9584.9,-209.12,209.12,85.52,-1.0,-3905.49,3905.49,-63.74,63.74,0.0
-2.68,-0.2,-11.66,11.66,11.03,11.03,9.47,1.24,-832.25,832.25,0.21,0.31,-3.2,-0.2,-37.7,37.7,16.06,16.06,-4.45,-0.26,-98.76,98.76,21.99,21.99,-51.76,-0.11,-2150.74,2150.74,129.93,129.93,-0.72,-0.01,-11.41,11.41,27.11,27.11,0.07,0.09,-2.66,2.66,-0.1,0.1,0.06,0.06,-13.22,13.22,-1.04,1.04,22.5,1.53,-40.05,40.05,19.61,19.61,138.15,1.54,-9389.42,9389.42,-13.64,13.64,16.04,-0.54,-3919.13,3919.13,-77.38,77.38,0.0
0.17,0.61,-21.62,21.62,1.07,1.07,-20.36,-0.89,-846.71,846.71,-14.25,14.25,1.16,-1.71,-49.72,49.72,4.04,4.04,0.13,0.81,-110.92,110.92,9.83,9.83,-1.64,-0.01,-2423.98,2423.98,-143.31,143.31,-2.22,-0.06,-61.66,61.66,-23.14,23.14,-0.14,-0.08,-1.94,1.94,0.62,0.62,0.0,0.0,-9.77,9.77,2.41,2.41,0.54,0.03,-59.75,59.75,-0.09,0.2,-5.19,-0.07,-9546.01,9546.01,-170.23,170.23,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-0.16,-0.11,-20.79,20.79,1.9,1.9,4.48,2.24,-842.86,842.86,-10.4,10.4,1.79,0.34,-43.22,43.22,10.54,10.54,-0.77,-0.1,-104.55,104.55,16.2,16.2,158.21,1.33,-2275.53,2275.53,5.14,5.73,1.21,0.05,-71.74,71.74,-33.22,33.22,0.0,0.0,-3.3,3.3,-0.75,0.75,0.0,0.0,-13.38,13.38,-1.2,1.2,0.33,0.06,-71.07,71.07,-11.41,11.41,-32.73,-0.19,-9481.91,9481.91,-106.13,106.13,71.6,-2.92,-3858.45,3858.45,-16.7,16.7,0.0
-1.64,-0.21,-15.73,15.73,6.96,6.96,-4.13,0.9,-858.08,858.08,-25.62,25.62,-2.0,-0.22,-43.12,43.12,10.64,10.64,-0.92,-0.1,-102.9,102.9,17.85,17.85,-176.48,-0.19,-1811.0,1811.0,469.67,469.67,-2.35,-0.03,-7.29,7.29,31.23,31.23,-0.11,-0.13,-2.74,2.74,-0.18,0.18,-0.13,-0.13,-13.36,13.36,-1.18,1.18,-2.3,-0.09,-54.11,54.11,5.55,5.55,270.86,1.25,-9130.08,9130.08,245.7,245.7,6.5,-0.27,-3923.31,3923.31,-81.56,81.56,0.0
0.35,0.04,-13.57,13.57,9.12,9.12,-14.69,-0.51,-835.47,835.47,-3.01,3.01,-0.58,-0.04,-35.76,35.76,18.0,18.0,-0.08,-0.01,-105.1,105.1,15.65,15.65,13.25,0.08,-2370.52,2370.52,-89.85,89.85,3.54,0.06,-35.09,35.09,3.43,3.43,0.07,0.05,-2.11,2.11,0.45,0.45,-0.07,-0.03,-11.85,11.85,0.33,0.33,-1.36,-0.05,-49.21,49.21,10.45,10.45,-9.36,-0.07,-9493.12,9493.12,-117.34,117.34,-56.61,-0.82,-3892.98,3892.98,-51.23,51.23,0.0
6.2,3.08,-13.86,13.86,8.83,8.83,-20.95,-0.3,-800.09,800.09,32.37,32.37,20.24,2.5,-21.88,21.88,31.89,31.89,4.82,2.05,-104.04,104.04,16.71,16.71,-9.02,-0.15,-2500.67,2500.67,-220.0,220.0,4.95,0.19,-64.42,64.42,-25.9,25.9,0.29,0.34,-2.35,2.35,0.21,0.21,0.52,0.15,-10.26,10.26,1.92,1.92,-9.13,-0.16,-29.04,29.04,30.62,30.62,-35.25,-0.28,-9528.54,9528.54,-152.76,152.76,354.38,11706.0,-3551.11,3551.11,290.64,290.64,0.0
-0.13,-0.13,-21.17,21.17,1.52,1.52,-4.63,-0.72,-847.54,847.54,-15.08,15.08,-0.17,-0.06,-47.64,47.64,6.12,6.12,-0.09,-0.1,-110.37,110.37,10.38,10.38,39.02,0.32,-2390.76,2390.76,-110.09,110.09,-1.22,-0.03,-61.08,61.08,-22.56,22.56,-0.05,-0.04,-2.43,2.43,0.13,0.13,0.1,0.03,-11.16,11.16,1.02,1.02,4.39,0.2,-51.43,51.43,8.23,8.23,-69.36,-0.36,-9491.04,9491.04,-115.26,115.26,-8.01,-2001.35,-3913.5,3913.5,-71.75,71.75,0.0
-1.07,-0.24,-18.6,18.6,4.09,4.09,-3.97,-0.73,-847.86,847.86,-15.4,15.4,-0.91,-0.11,-42.48,42.48,11.29,11.29,-0.16,-0.05,-108.4,108.4,12.35,12.35,-36.61,-0.25,-2440.91,2440.91,-160.24,160.24,-12.54,-0.23,-54.35,54.35,-15.83,15.83,-0.29,-0.19,-2.26,2.26,0.3,0.3,-0.24,-0.08,-11.56,11.56,0.62,0.62,-7.22,-0.22,-51.73,51.73,7.93,7.93,19.45,0.1,-9411.02,9411.02,-35.24,35.24,-163.59,-1.01,-3906.73,3906.73,-64.98,64.98,0.0
7.37,3.68,-12.7,12.7,9.99,9.99,-33.24,-15.39,-880.42,880.42,-47.96,47.96,5.8,0.85,-37.62,37.62,16.15,16.15,9.83,5.26,-99.51,99.51,21.24,21.24,27.07,0.16,-2360.52,2360.52,-79.85,79.85,14.88,0.27,-24.93,24.93,13.59,13.59,-0.27,-0.25,-2.7,2.7,-0.14,0.14,-0.67,-0.34,-12.93,12.93,-0.75,0.75,1.14,0.03,-43.5,43.5,16.16,16.16,-21.65,-0.09,-9385.88,9385.88,-10.1,10.1,150.25,-3.08,-3804.06,3804.06,37.69,37.69,0.0
0.25,0.05,-16.38,16.38,6.31,6.31,-12.31,5.86,-863.75,863.75,-31.29,31.29,0.15,0.02,-42.88,42.88,10.89,10.89,0.98,0.24,-106.15,106.15,14.6,14.6,70.76,0.3,-2243.43,2243.43,37.24,37.24,3.85,0.05,-15.17,15.17,23.35,23.35,-0.21,-0.16,-2.38,2.38,0.18,0.18,-0.33,-0.19,-12.78,12.78,-0.6,0.6,-0.78,-0.03,-54.39,54.39,5.27,5.27,4.52,0.07,-9548.82,9548.82,-173.04,173.04,23.09,-1.47,-3898.07,3898.07,-56.32,56.32,0.0
6.43,-1.28,-20.65,20.65,2.04,2.04,10.48,-1.87,-844.46,844.46,-12.0,12.0,8.15,-1.14,-49.2,49.2,4.57,4.57,10.75,-1.27,-108.94,108.94,11.81,11.81,-56.19,-0.24,-2373.66,2373.66,-92.99,92.99,-5.23,-0.08,-38.21,38.21,0.31,0.33,0.04,0.07,-2.87,2.87,-0.31,0.31,0.07,0.07,-13.16,13.16,-0.98,0.98,3.83,0.37,-63.02,63.02,-3.36,3.36,25.56,0.46,-9535.8,9535.8,-160.02,160.02,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
31.73,-0.79,-30.5,30.5,-7.81,7.81,-5.65,-0.12,-807.81,807.81,24.65,24.65,53.23,-0.81,-62.46,62.46,-8.7,8.7,47.02,-0.72,-129.71,129.71,-8.96,8.96,-146.12,-0.43,-2359.23,2359.23,-78.56,78.56,10.3,0.18,-27.98,27.98,10.54,10.54,-0.15,-0.25,-3.04,3.04,-0.48,0.48,-0.37,-0.35,-13.51,13.51,-1.33,1.33,24.33,-1.12,-74.7,74.7,-15.04,15.04,672.65,-1.33,-9451.64,9451.64,-75.86,75.86,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
8.07,-1.14,-21.11,21.11,1.58,1.58,157.39,-8.84,-709.75,709.75,122.71,122.71,11.11,-0.53,-60.2,60.2,-6.44,6.44,14.36,-1.06,-110.41,110.41,10.34,10.34,22.12,0.21,-2424.36,2424.36,-143.69,143.69,-4.78,-0.1,-52.97,52.97,-14.45,14.45,0.68,1.31,-2.3,2.3,0.26,0.26,1.58,1.44,-11.53,11.53,0.65,0.65,48.35,10.06,-27.33,27.33,32.33,32.33,1914.39,20.19,-7631.55,7631.55,1744.23,1744.23,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-1.36,1.97,-24.12,24.12,-1.43,1.43,11.65,-1.57,-845.13,845.13,-12.67,12.67,-3.05,2.26,-54.6,54.6,-0.84,0.84,-2.41,2.08,-114.78,114.78,5.97,5.97,-57.22,-0.48,-2490.62,2490.62,-209.95,209.95,-8.21,-0.16,-52.75,52.75,-14.23,14.23,-0.02,-0.03,-2.92,2.92,-0.36,0.36,0.06,0.05,-12.98,12.98,-0.8,0.8,1.63,0.13,-63.46,63.46,-3.8,3.8,3.43,0.16,-9591.83,9591.83,-216.05,216.05,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-3.79,-4.86,-25.08,25.08,-2.39,2.39,-34.53,19.62,-885.63,885.63,-53.17,53.17,-10.28,-5.27,-58.54,58.54,-4.77,4.77,-6.12,-5.51,-116.22,116.22,4.53,4.53,18.2,0.24,-2459.64,2459.64,-178.97,178.97,-6.9,-0.17,-62.81,62.81,-24.29,24.29,-0.1,-0.14,-2.9,2.9,-0.34,0.34,-0.09,-0.05,-12.55,12.55,-0.37,0.37,-4.66,-0.58,-73.95,73.95,-14.29,14.29,-12.54,-0.54,-9606.18,9606.18,-230.4,230.4,24.81,-1.0,-3905.49,3905.49,-63.74,63.74,0.0
1.32,0.24,-15.25,15.25,7.44,7.44,-34.9,-0.66,-831.01,831.01,1.45,1.45,3.75,0.3,-33.94,33.94,19.83,19.83,1.04,0.18,-104.27,104.27,16.48,16.48,-16.8,-0.16,-2461.59,2461.59,-180.92,180.92,1.46,0.03,-48.04,48.04,-9.52,9.52,0.05,0.05,-2.52,2.52,0.04,0.04,-0.03,-0.01,-12.12,12.12,0.06,0.06,9.86,0.51,-48.04,48.04,11.62,11.62,17.82,0.39,-9553.77,9553.77,-177.99,177.99,17.98,0.51,-3851.96,3851.96,-10.21,10.21,0.0
-4.2,-0.6,-19.22,19.22,3.47,3.47,-16.61,-0.84,-846.09,846.09,-13.63,13.63,-16.99,-0.82,-46.42,46.42,7.35,7.35,-20.92,-0.76,-104.49,104.49,16.26,16.26,4.55,0.03,-2389.02,2389.02,-108.35,108.35,29.37,0.7,-24.46,24.46,14.06,14.06,0.16,0.62,-3.08,3.08,-0.52,0.52,-0.15,-0.2,-13.61,13.61,-1.43,1.43,10.11,1.2,-58.69,58.69,0.97,0.97,-1232.71,-0.96,-9570.76,9570.76,-194.98,194.98,-55.87,-6.57,-3952.85,3952.85,-111.1,111.1,0.0
-0.38,-0.09,-18.33,18.33,4.36,4.36,3.02,-0.74,-850.4,850.4,-17.94,17.94,-1.37,-0.15,-42.54,42.54,11.22,11.22,-0.21,-0.07,-108.56,108.56,12.19,12.19,66.26,0.43,-2330.75,2330.75,-50.08,50.08,2.21,0.05,-45.7,45.7,-7.18,7.18,-0.03,-0.02,-2.09,2.09,0.47,0.47,-0.27,-0.09,-11.32,11.32,0.86,0.86,-0.47,-0.03,-63.86,63.86,-4.2,4.2,-0.02,-0.0,-9554.7,9554.7,-178.92,178.92,7.79,-0.48,-3913.84,3913.84,-72.09,72.09,0.0
4.49,-1.02,-22.0,22.0,0.69,0.69,7.26,0.82,-833.26,833.26,-0.8,0.8,15.52,-1.32,-46.46,46.46,7.3,7.3,11.52,-1.01,-111.04,111.04,9.71,9.71,14.07,0.13,-2430.63,2430.63,-149.96,149.96,3.76,0.15,-66.14,66.14,-27.62,27.62,0.04,0.1,-3.07,3.07,-0.51,0.51,0.05,0.03,-12.65,12.65,-0.47,0.47,11.64,-4.25,-68.36,68.36,-8.7,8.7,1831.39,-5.05,-8148.38,8148.38,1227.4,1227.4,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-5.59,-0.24,-4.37,7.65,18.32,18.32,-106.59,-0.95,-843.58,843.58,-11.12,11.12,-5.75,-0.23,-30.56,30.56,23.2,23.2,-2.81,-0.11,-87.42,87.42,33.33,33.33,164.62,0.29,-1820.33,1820.33,460.34,460.34,0.47,0.01,-4.43,4.43,34.09,34.09,-0.14,-0.16,-2.76,2.76,-0.2,0.2,-0.13,-0.14,-13.39,13.39,-1.21,1.21,-9.51,-0.24,-47.83,47.83,11.83,11.83,73.44,0.08,-8582.5,8582.5,793.28,793.28,-397.95,-1.01,-3909.97,3909.97,-68.22,68.22,0.0
-24.87,-2.02,-34.64,34.64,-11.95,11.95,0.76,0.12,-842.32,842.32,-9.86,9.86,-31.99,-1.89,-65.28,65.28,-11.52,11.52,-198.36,-11.83,-306.59,306.59,-185.84,185.84,755.1,5.4,-1030.55,1030.55,1250.12,1250.12,18.42,0.25,-2.6,2.6,35.92,35.92,-0.62,-0.75,-3.3,3.3,-0.8,0.88,-0.86,-0.82,-14.13,14.13,-1.77,1.95,-29.88,-1.17,-81.68,81.68,-22.02,22.02,-123.61,-1.6,-9663.57,9663.57,-287.79,287.79,-39.05,4.31,-3953.6,3953.6,-111.85,111.85,0.0
2.6,0.25,-9.15,9.15,13.54,13.54,1.71,0.55,-844.54,844.54,-12.08,12.08,5.35,0.3,-27.14,27.14,26.62,26.62,3.96,0.25,-91.4,91.4,29.35,29.35,3.38,0.03,-2424.05,2424.05,-143.38,143.38,-7.06,-0.12,-42.53,42.53,-4.01,4.01,0.0,0.0,-2.85,2.85,-0.29,0.29,0.04,0.04,-13.05,13.05,-0.87,0.87,-0.46,-0.02,-57.79,57.79,1.87,1.87,20.12,0.42,-9548.49,9548.49,-172.71,172.71,200.42,-3.87,-3756.84,3756.84,84.91,84.91,0.0
12.85,1.57,-3.72,7.65,21.64,21.64,85.04,-2.52,-798.04,798.04,34.42,34.42,16.95,1.55,-22.3,22.3,31.46,31.46,32.63,1.08,-48.49,48.49,72.26,72.26,232.01,0.87,-2053.39,2053.39,227.28,227.28,1.02,0.01,-19.89,19.89,18.63,18.63,0.07,0.26,-3.16,3.16,-0.6,0.6,0.08,0.22,-13.77,13.77,-1.59,1.59,13.02,0.89,-49.68,49.68,9.98,9.98,737.31,1.68,-8440.53,8440.53,935.25,935.25,207.1,25.01,-3690.11,3690.11,151.64,151.64,0.0
-7.36,-0.46,-13.6,13.6,9.09,9.09,-8.95,-0.85,-847.75,847.75,-15.29,15.29,-9.53,-0.49,-40.12,40.12,13.65,13.65,-3.54,-0.29,-102.46,102.46,18.29,18.29,234.64,0.52,-1870.71,1870.71,409.96,409.96,7.09,0.09,-8.41,8.41,30.11,30.11,-0.32,-0.25,-2.53,2.53,0.03,0.03,-0.45,-0.28,-13.06,13.06,-0.88,0.88,-8.36,-0.32,-59.33,59.33,0.33,0.33,-249.11,-0.26,-8906.72,8906.72,469.06,469.06,-22.2,-1.02,-3905.89,3905.89,-64.14,64.14,0.0
47.16,-1.08,-16.63,16.63,6.06,6.06,-49.91,-1.07,-852.51,852.51,-20.05,20.05,113.45,-1.05,-43.24,43.24,10.53,10.53,208.79,-1.03,-103.3,103.3,17.45,17.45,477.78,2.2,-1858.4,1858.4,422.27,422.27,11.22,0.16,-12.15,12.15,26.37,26.37,0.46,2.0,-2.81,2.81,-0.25,0.25,0.37,0.73,-13.33,13.33,-1.15,1.15,51.25,-1.11,-65.32,65.32,-5.66,5.66,3111.2,-1.34,-8048.9,8048.9,1326.88,1326.88,-84.57,-1.33,-3926.4,3926.4,-84.65,84.65,0.0
-1.41,-0.15,-14.26,14.26,8.43,8.43,-6.6,-0.82,-847.94,847.94,-15.48,15.48,-3.66,-0.24,-38.66,38.66,15.1,15.1,-1.62,-0.15,-102.32,102.32,18.43,18.43,28.83,0.15,-2334.51,2334.51,-53.84,53.84,1.86,0.03,-26.77,26.77,11.75,11.75,0.0,0.0,-2.62,2.62,-0.06,0.06,-0.15,-0.1,-12.92,12.92,-0.74,0.74,0.26,0.01,-50.03,50.03,9.63,9.63,17.55,0.21,-9516.81,9516.81,-141.03,141.03,-11.05,3.75,-3919.49,3919.49,-77.74,77.74,0.0
1.47,0.15,-10.91,10.91,11.78,11.78,-27.83,-1.96,-863.0,863.0,-30.54,30.54,1.24,0.11,-37.65,37.65,16.12,16.12,4.48,0.43,-96.33,96.33,24.42,24.42,286.68,0.43,-1597.6,1597.6,683.07,683.07,2.18,0.02,-5.81,5.81,32.71,32.71,-0.18,-0.19,-2.75,2.75,-0.19,0.19,-0.25,-0.23,-13.37,13.37,-1.19,1.19,-0.61,-0.02,-52.03,52.03,7.63,7.63,22.51,0.26,-9507.91,9507.91,-132.13,132.13,-28.57,-0.55,-3881.95,3881.95,-40.2,40.2,0.0
-0.37,-0.25,-20.93,20.93,1.76,1.76,31.44,-7.38,-822.16,822.16,10.3,10.3,-0.37,-0.2,-48.76,48.76,5.0,5.0,-1.74,-0.41,-108.71,108.71,12.04,12.04,-149.85,-0.38,-2309.33,2309.33,-28.66,28.66,3.32,0.04,-13.33,13.33,25.19,25.19,0.1,0.28,-3.04,3.04,-0.48,0.48,0.11,0.24,-13.65,13.65,-1.47,1.47,5.38,0.21,-46.62,46.62,13.04,13.04,-782.01,-0.82,-9448.8,9448.8,-73.02,73.02,40.25,-0.68,-3924.73,3924.73,-82.98,82.98,0.0
-2.7,0.13,-45.43,45.43,-22.74,22.74,17.27,-6.33,-834.8,834.8,-2.34,2.34,-8.91,0.33,-86.52,86.52,-32.76,32.76,2.82,-0.02,-263.75,263.75,-143.0,143.0,-42.06,-0.19,-2373.7,2373.7,-93.03,93.03,-0.55,-0.01,-31.67,31.67,6.85,6.85,0.02,0.15,-3.3,3.3,-0.79,0.79,0.06,0.33,-13.97,13.97,-1.77,1.79,-7.55,0.76,-94.75,94.75,-35.09,35.09,-111.98,0.33,-10071.41,10071.41,-695.63,695.63,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-4.14,-0.37,-15.0,15.0,7.69,7.69,-132.28,-1.18,-869.66,869.66,-37.2,37.2,-3.63,-0.22,-37.16,37.16,16.61,16.61,-0.76,-0.09,-103.45,103.45,17.3,17.3,102.17,0.65,-2292.41,2292.41,-11.74,11.74,13.64,0.27,-30.59,30.59,7.93,7.93,-0.41,-0.31,-2.59,2.59,-0.03,0.03,-0.93,-0.37,-12.64,12.64,-0.46,0.46,0.86,0.04,-55.82,55.82,3.84,3.84,-2.17,-0.01,-9425.07,9425.07,-49.29,49.29,-73.12,-1.07,-3910.18,3910.18,-68.43,68.43,0.0
-0.43,-0.07,-16.71,16.71,5.98,5.98,-1.14,-0.1,-838.61,838.61,-6.15,6.15,-0.19,-0.02,-41.6,41.6,12.16,12.16,0.66,0.05,-96.0,96.0,24.75,24.75,5.31,0.11,-2498.36,2498.36,-217.69,217.69,-3.05,-0.05,-34.79,34.79,3.73,3.73,-0.05,-0.13,-3.15,3.15,-0.59,0.59,-0.03,-0.05,-13.64,13.64,-1.46,1.46,-3.09,-0.18,-62.79,62.79,-3.13,3.13,-5.49,-0.19,-9593.01,9593.01,-217.23,217.23,-7.69,-0.26,-3883.7,3883.7,-41.95,41.95,0.0
1.39,-0.02,-98.9,98.9,-58.8,62.28,37.22,-7.82,-816.88,816.88,15.58,15.58,6.58,-0.06,-151.62,151.62,-97.86,97.86,-114.61,0.64,-404.76,404.76,-284.01,284.01,333.18,0.83,-1816.97,1816.97,463.7,463.7,19.43,0.28,-7.79,7.79,30.73,30.73,-0.18,-0.41,-3.24,3.24,-0.68,0.68,-0.25,-0.42,-13.86,13.86,-1.68,1.68,-21.43,0.35,-147.45,147.64,-65.64,79.81,293.9,-0.04,-17012.31,17012.31,-3087.04,7636.53,-2.87,-2001.35,-3908.36,3908.36,-66.61,66.61,0.0
-2.43,0.75,-27.75,27.75,-5.06,5.06,19.6,-1.61,-841.88,841.88,-9.42,9.42,-8.87,1.28,-66.0,66.0,-12.24,12.24,-3.07,0.8,-118.14,118.14,2.61,2.61,-18.08,-0.26,-2501.3,2501.3,-220.63,220.63,-10.44,-0.23,-61.54,61.54,-23.02,23.02,-0.02,-0.02,-2.68,2.68,-0.12,0.12,0.31,0.17,-12.1,12.1,0.08,0.08,-1.53,-0.07,-56.78,56.78,2.88,2.88,0.08,0.0,-9584.33,9584.33,-208.55,208.55,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-3.93,-0.42,-16.55,16.55,6.14,6.14,-9.05,0.49,-876.88,876.88,-44.42,44.42,-4.23,-0.39,-43.7,43.7,10.07,10.07,-1.07,-0.16,-105.66,105.66,15.09,15.09,-114.87,-0.23,-2171.23,2171.23,109.44,109.44,-6.03,-0.07,-13.68,13.68,24.84,24.84,-0.44,-0.31,-2.51,2.51,0.05,0.05,-0.45,-0.28,-13.04,13.04,-0.86,0.86,-4.36,-0.16,-54.6,54.6,5.06,5.06,-9.07,-0.13,-9554.64,9554.64,-178.86,178.86,6.81,-0.15,-3944.7,3944.7,-102.95,102.95,0.0
-13.62,-17.69,-34.92,34.92,-12.23,12.23,-22.12,-2.89,-863.81,863.81,-31.35,31.35,-42.06,-21.57,-90.32,90.32,-36.55,36.55,-13.61,-20.62,-124.16,124.16,-3.41,3.41,-57.12,-0.33,-2434.78,2434.78,-154.11,154.11,-14.07,-0.36,-70.61,70.61,-32.09,32.09,-0.17,-0.15,-2.51,2.51,0.05,0.05,0.07,0.02,-11.11,11.11,1.07,1.07,-16.05,-1.55,-82.93,82.93,-23.27,23.27,-577.88,-1.67,-9848.49,9848.49,-472.71,472.71,75.16,-1.0,-3905.49,3905.49,-63.74,63.74,0.0
-23.07,-17.61,-43.83,43.83,-21.14,21.14,-55.85,-3.14,-887.43,887.43,-54.97,54.97,-43.72,-25.13,-92.18,92.18,-38.42,38.42,-39.85,-33.49,-149.87,149.87,-29.12,29.12,-134.6,-0.62,-2472.12,2472.12,-191.45,191.45,-39.87,-0.53,-60.3,60.3,-21.78,21.78,-0.54,-0.49,-2.94,2.94,-0.38,0.38,-0.37,-0.25,-13.12,13.12,-0.94,0.94,-43.26,-0.58,-46.34,46.34,13.32,13.32,-122.59,-0.65,-9552.13,9552.13,-176.35,176.35,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
47.16,-1.45,-3.72,7.65,23.63,23.63,6.34,-0.17,-880.4,880.4,-47.94,47.94,0.0,0.0,-50.2,50.2,3.56,3.56,116.06,-1.33,-82.32,82.32,38.43,38.43,48.1,0.55,-2417.54,2417.54,-136.87,136.87,28.1,1.59,-67.56,67.56,-29.04,29.04,0.21,0.36,-2.7,2.7,-0.14,0.14,0.0,0.0,-14.21,14.21,-1.77,2.03,51.25,-2.44,-36.17,36.17,23.49,23.49,116.43,-2.29,-9551.46,9551.46,-175.68,175.68,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
