,회사명,거래소코드,회계년도,총자본순이익률,매출액증가율,자기자본순이익률,매출액순이익률,유동비율,자기자본구성비율,총자본회전률,자기자본회전률,총자본투자효율,설비투자효율,순이익증가율,label
43,(주)강원에너지,114190,2020-12-01,-28.75,-9.88,-64.76,-33.58,172.82,51.86,0.86,2.01,-17.29,-85.17,0.0,0.0
44,(주)고려시멘트,198440,2018-12-01,2.23,-2.15,4.1,2.3,173.94,54.99,0.97,1.78,12.91,130.68,362.85,0.0
45,(주)고려시멘트,198440,2019-12-01,-46.24,-17.32,-92.7,-78.64,110.09,41.56,0.59,1.18,-40.87,-264.68,-26.89,0.0
46,(주)고려시멘트,198440,2020-12-01,-31.87,-1.04,-69.99,-36.61,177.21,52.16,0.87,1.91,-21.09,-109.98,30.88,0.0
47,(주)고영테크놀러지,98460,2011-12-01,19.83,18.06,25.06,18.15,424.78,80.02,1.09,1.38,33.3,206.39,-4.46,0.0
48,(주)고영테크놀러지,98460,2012-12-01,15.99,25.21,19.91,14.12,498.93,80.7,1.13,1.41,31.57,209.86,-2.55,0.0
49,(주)고영테크놀러지,98460,2013-12-01,12.42,3.77,15.35,12.45,532.19,81.29,1.0,1.23,25.81,220.81,-8.36,0.0
50,(주)고영테크놀러지,98460,2014-12-01,16.84,27.65,20.68,15.48,530.61,81.74,1.09,1.33,32.95,233.98,58.83,0.0
51,(주)고영테크놀러지,98460,2015-12-01,15.66,2.15,18.99,16.13,579.96,82.76,0.97,1.18,29.3,236.1,6.03,0.0
52,(주)고영테크놀러지,98460,2016-12-01,16.79,17.74,20.61,17.3,563.7,80.6,0.97,1.19,31.86,260.7,26.71,0.0
53,(주)고영테크놀러지,98460,2017-12-01,13.36,18.38,16.76,13.15,499.8,78.61,1.02,1.28,32.01,259.28,-10.2,0.0
54,(주)고영테크놀러지,98460,2018-12-01,17.47,17.13,21.86,17.76,562.28,80.94,0.98,1.23,30.94,265.42,58.71,0.0
55,(주)고영테크놀러지,98460,2019-12-01,10.11,-6.78,12.59,13.31,587.8,79.77,0.76,0.95,26.43,225.13,-30.13,0.0
56,(주)고영테크놀러지,98460,2020-12-01,3.01,-19.14,3.74,5.1,620.36,81.32,0.59,0.73,17.3,152.03,-69.01,0.0
