,회계년도,총자본순이익률_차이,총자본순이익률_비율,총자본순이익률_상위10개_차이,총자본순이익률_상위10개_변동성,총자본순이익률_산업평균_차이,총자본순이익률_산업평균_변동성,매출액증가율_차이,매출액증가율_비율,매출액증가율_상위10개_차이,매출액증가율_상위10개_변동성,매출액증가율_산업평균_차이,매출액증가율_산업평균_변동성,자기자본순이익률_차이,자기자본순이익률_비율,자기자본순이익률_상위10개_차이,자기자본순이익률_상위10개_변동성,자기자본순이익률_산업평균_차이,자기자본순이익률_산업평균_변동성,매출액순이익률_차이,매출액순이익률_비율,매출액순이익률_상위10개_차이,매출액순이익률_상위10개_변동성,매출액순이익률_산업평균_차이,매출액순이익률_산업평균_변동성,유동비율_차이,유동비율_비율,유동비율_상위10개_차이,유동비율_상위10개_변동성,유동비율_산업평균_차이,유동비율_산업평균_변동성,자기자본구성비율_차이,자기자본구성비율_비율,자기자본구성비율_상위10개_차이,자기자본구성비율_상위10개_변동성,자기자본구성비율_산업평균_차이,자기자본구성비율_산업평균_변동성,총자본회전률_차이,총자본회전률_비율,총자본회전률_상위10개_차이,총자본회전률_상위10개_변동성,총자본회전률_산업평균_차이,총자본회전률_산업평균_변동성,자기자본회전률_차이,자기자본회전률_비율,자기자본회전률_상위10개_차이,자기자본회전률_상위10개_변동성,자기자본회전률_산업평균_차이,자기자본회전률_산업평균_변동성,총자본투자효율_차이,총자본투자효율_비율,총자본투자효율_상위10개_차이,총자본투자효율_상위10개_변동성,총자본투자효율_산업평균_차이,총자본투자효율_산업평균_변동성,설비투자효율_차이,설비투자효율_비율,설비투자효율_상위10개_차이,설비투자효율_상위10개_변동성,설비투자효율_산업평균_차이,설비투자효율_산업평균_변동성,순이익증가율_차이,순이익증가율_비율,순이익증가율_상위10개_차이,순이익증가율_상위10개_변동성,순이익증가율_산업평균_차이,순이익증가율_산업평균_변동성,label
5132,2020-12-01,7.56,-0.29,-72.18,72.18,-16.27,16.27,-42.96,-5.26,-16389.81,16389.81,-173.49,173.49,11.51,-0.35,-120.14,120.14,-14.49,14.49,-3.67,0.02,-396.05,396.05,-97.24,97.24,35.74,3.74,-3724.43,3724.43,-255.57,255.57,20.64,0.53,-37.38,37.38,-0.32,0.33,-0.05,-0.31,-3.15,3.15,-0.63,0.63,-0.08,-0.26,-26.59,26.59,-1.41,1.41,7.25,-0.75,-96.49,96.49,-16.88,16.88,-294.95,1.15,-121632.59,121632.59,63855.34,63855.34,0.0,0.0,-27419.62,27419.62,-254.18,254.18,0.0
5133,2012-12-01,-3.99,0.93,-39.22,39.22,-8.32,8.32,3.63,0.16,-149.41,149.41,17.89,17.89,-19.12,1.52,-103.01,103.01,111.81,111.81,-17.51,0.82,-106.18,106.18,-18.49,18.49,1.12,0.05,-2654.38,2654.38,-256.0,256.0,-8.81,-0.29,-73.83,73.83,-35.56,35.56,0.01,0.05,-3.3,3.3,-0.7,0.7,0.23,0.39,-13.24,13.24,-1.16,1.16,-2.45,-0.78,-76.49,76.49,-15.68,15.68,-28.05,-0.74,-25218.09,25218.09,-398.93,398.93,0.0,0.0,-941.44,941.44,-25.06,25.06,0.0
5134,2013-12-01,3.96,-0.48,-26.4,26.4,-3.71,3.71,-33.83,-1.27,-856.6,856.6,-24.14,24.14,12.82,-0.4,-69.1,69.1,-15.34,15.34,16.78,-0.43,-133.2,133.2,-12.45,12.45,-7.64,-0.33,-2537.65,2537.65,-256.98,256.98,2.06,0.09,-71.65,71.65,-33.13,33.13,-0.01,-0.05,-3.3,3.3,-0.74,0.74,0.04,0.05,-13.35,13.35,-1.17,1.17,4.2,6.18,-72.38,72.38,-12.72,12.72,310.48,20.19,-9296.88,9296.88,78.9,78.9,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
5135,2014-12-01,0.38,-0.09,-36.52,36.52,-3.04,3.04,-9.38,1.29,-265.87,265.87,-22.93,22.93,0.91,-0.05,-77.6,77.6,-12.05,12.05,-1.05,0.05,-140.2,140.2,-4.2,4.2,-1.16,-0.08,-210975.28,210976.12,-2758.31,2770.81,17.94,0.75,-53.66,53.66,-16.52,16.52,-0.03,-0.15,-2.85,2.85,-0.72,0.72,-0.34,-0.4,-10.74,10.74,-1.35,1.35,-0.34,-0.07,-82.14,82.14,-12.57,12.57,160.71,0.5,-10855.74,10855.74,290.42,290.42,0.0,0.0,-646117.79,646117.79,-7931.37,7931.37,0.0
5136,2015-12-01,6.54,-1.66,-47.68,47.68,2.48,2.48,29.75,-1.79,-478.05,478.05,2.38,2.38,21.62,-1.2,-78.48,78.48,6.92,6.92,37.8,-1.64,-138.36,138.36,23.25,23.25,33.67,2.39,-4148.56,4148.56,-258.19,258.19,27.18,0.65,-27.52,27.52,9.36,9.36,0.01,0.06,-2.78,2.78,-0.69,0.69,-0.21,-0.4,-10.08,10.08,-1.47,1.47,4.41,0.97,-74.07,74.07,-8.43,8.43,575.75,1.2,-224367.11,224367.11,-1695.3,1695.3,0.0,0.0,-3106.93,3106.93,-55.82,55.82,0.0
5137,2016-12-01,-21.24,-8.2,-61.29,61.29,-17.9,17.9,-14.81,-1.13,-433.72,433.72,-14.61,14.61,-28.87,-7.95,-101.73,101.73,-21.74,21.74,-132.02,-8.94,-211.46,211.46,-105.35,105.35,26.86,0.56,-4120.57,4120.57,-238.79,238.79,9.09,0.13,-18.32,18.32,18.35,18.35,-0.02,-0.11,-2.64,2.64,-0.69,0.69,-0.09,-0.29,-8.1,8.1,-1.48,1.48,-14.75,-1.65,-103.23,103.23,-22.18,22.18,-1149.81,-1.09,-11805.97,11805.97,71.69,71.69,0.0,0.0,-3811.68,3811.68,-58.46,58.46,0.0
5138,2017-12-01,-35.63,1.91,-110.0,110.21,-53.57,53.57,6.94,-4.08,-809.76,809.76,-14.6,14.6,-42.32,1.68,-165.47,165.47,-63.64,63.64,-141.07,1.2,-683.24,686.05,-250.23,250.23,35.02,0.47,-3266.98,3266.98,-189.65,189.65,-24.37,-0.31,-42.88,42.88,-6.22,6.22,0.05,0.31,-3.01,3.01,-0.63,0.63,0.08,0.36,-8.53,8.53,-1.4,1.4,-48.21,8.31,-147.45,147.64,-65.64,70.52,-524.28,5.63,-190519.47,190519.47,-2698.71,2698.71,0.0,0.0,-1477.55,1477.55,-33.28,33.28,0.0
5139,2018-12-01,31.2,-0.57,-59.08,59.08,-22.4,22.4,58.96,11.25,-398.76,398.76,53.24,53.24,30.04,-0.44,-96.17,96.17,-31.91,31.91,208.79,-0.81,-170.82,170.82,-37.78,37.78,-12.71,-0.12,-6237.66,6237.66,-229.76,229.76,-9.86,-0.18,-52.96,52.96,-15.74,15.74,0.26,1.24,-2.52,2.52,-0.35,0.35,0.67,2.23,-9.41,9.41,-0.68,0.68,50.85,-0.94,-95.24,95.24,-19.69,19.69,577.68,-0.94,-55089.85,55089.85,-696.28,696.28,0.0,0.0,-2377.79,2377.79,-40.73,40.73,0.0
5140,2019-12-01,4.99,-0.22,-63.19,63.19,-16.55,16.55,-62.08,-0.97,-761.2,761.2,-12.28,12.28,3.4,-0.09,-104.77,104.77,-25.7,25.7,13.3,-0.27,-164.54,164.54,-12.43,12.43,-14.26,-0.15,-15915.81,15915.81,-322.71,322.71,7.25,0.16,-46.16,46.16,-7.55,7.55,0.04,0.09,-2.76,2.76,-0.28,0.28,0.1,0.1,-9.54,9.54,-0.55,0.55,4.08,-1.29,-111.31,111.31,-14.45,14.45,43.33,-1.09,-10801.93,10801.93,-5.27,8.82,0.0,0.0,-3848.1,3848.1,-51.1,51.1,0.0
5141,2020-12-01,-3.04,0.17,-74.96,74.96,-19.05,19.05,30.48,14.38,-16322.42,16322.42,-106.1,106.1,-0.02,0.0,-132.54,132.54,-26.89,26.89,1.56,-0.04,-262.18,262.18,36.63,36.63,80.63,0.98,-3606.44,3606.44,-137.58,137.58,10.15,0.2,-35.55,35.55,1.51,1.51,0.11,0.22,-2.64,2.64,-0.12,0.12,0.03,0.03,-25.72,25.72,-0.54,0.54,-9.58,-10.41,-102.72,102.72,-23.11,23.11,-32.27,-9.09,-121110.6,121110.6,64377.33,64377.33,0.0,0.0,-27419.62,27419.62,-254.18,254.18,0.0
