,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,유동자산증가율,총자본증가율,자기자본순이익률,총자본순이익률,자본분배율,부가가치율,순운전자본비율,자기자본배율,매입채무회전률,매출채권회전기간,label,유동자산증가율_차이,유동자산증가율_변동률,총자본증가율_차이,총자본증가율_변동률,자기자본순이익률_차이,자기자본순이익률_변동률,총자본순이익률_차이,총자본순이익률_변동률,자본분배율_차이,자본분배율_변동률,부가가치율_차이,부가가치율_변동률,순운전자본비율_차이,순운전자본비율_변동률,자기자본배율_차이,자기자본배율_변동률,매입채무회전률_차이,매입채무회전률_변동률,매출채권회전기간_차이,매출채권회전기간_변동률
2184,제이더블유신약(주),67290,2014-12-01,2003-02-11,,5,  의료용 물질 및 의약품 제조업,-5.99,0.53,-1.2,-0.44,26.63,33.9,-24.68,224.6,15.27,127.36,0.0,-34.59,-0.012094405594405595,-9.08,-0.009448491155046826,5.31,0.00815668202764977,2.12,0.00828125,4.68,0.002132118451025057,-1.3500000000000014,-0.00038297872340425573,-3.84,-0.0018426103646833013,-20.060000000000002,-0.0008199133491375788,8.03,0.011091160220994474,11.590000000000003,0.0010011229161268034
2185,제이씨케미칼(주),137950,2012-12-01,2011-08-08,,5,  화학물질 및 화학제품 제조업; 의약품 제외,-53.69,-15.13,6.05,4.43,61.3,6.93,9.79,651.82,49.72,26.76,0.0,-39.839999999999996,-0.028765342960288806,-9.77,-0.018227611940298507,-12.3,-0.006702997275204359,-1.3200000000000003,-0.002295652173913044,10.099999999999994,0.0019726562499999987,-27.979999999999997,-0.008014895445431108,2.999999999999999,0.004418262150220912,-5259.84,-0.008897399376824783,9.589999999999996,0.002389733366558683,-3.169999999999998,-0.0010591379886401597
2186,제이씨케미칼(주),137950,2013-12-01,2011-08-08,,5,  화학물질 및 화학제품 제조업; 의약품 제외,38.25,27.17,4.17,2.53,54.47,7.87,0.44,648.87,45.85,26.71,0.0,91.94,0.017124231700502885,42.300000000000004,0.02795769993390615,-1.88,-0.0031074380165289255,-1.9,-0.004288939051918736,-6.829999999999998,-0.0011141924959216962,0.9400000000000004,0.001356421356421357,-9.35,-0.009550561797752809,-2.9500000000000455,-4.5257893283422496e-05,-3.8699999999999974,-0.0007783588093322601,-0.05000000000000071,-1.8684603886397874e-05
2187,제이씨케미칼(주),137950,2014-12-01,2011-08-08,,5,  화학물질 및 화학제품 제조업; 의약품 제외,51.08,40.45,-3.72,-2.19,14.91,6.15,-2.11,618.29,35.7,37.19,0.0,12.829999999999998,0.0033542483660130716,13.280000000000001,0.004887743835112256,-7.890000000000001,-0.01892086330935252,-4.72,-0.01865612648221344,-39.56,-0.007262713420231321,-1.7199999999999998,-0.0021855146124523505,-2.55,-0.05795454545454545,-30.58000000000004,-0.00047128084207930773,-10.149999999999999,-0.002213740458015267,10.479999999999997,0.003923624110819916
2188,제이씨현시스템(주),33320,2012-12-01,1997-11-10,,5,  도매 및 상품 중개업,6.89,3.99,-0.64,-0.38,7.29,9.15,45.01,576.62,13.71,59.1,0.0,6.3,0.10677966101694915,8.620000000000001,0.01861771058315335,-5.35,-0.011358811040339702,-4.1000000000000005,-0.011021505376344087,-23.67,-0.0076453488372093025,-1.459999999999999,-0.0013760603204524026,-1.75,-0.00037425149700598805,-7.269999999999982,-0.00012450975354946962,-0.5,-0.0003518648838845883,9.100000000000001,0.0018200000000000002
2189,제이씨현시스템(주),33320,2013-12-01,1997-11-10,,5,  도매 및 상품 중개업,10.84,6.88,3.88,2.95,26.22,10.41,45.12,599.2,13.27,68.59,0.0,3.95,0.0057329462989840355,2.8899999999999997,0.007243107769423558,4.52,0.070625,3.33,0.08763157894736842,18.93,0.02596707818930041,1.2599999999999998,0.0013770491803278687,0.10999999999999943,2.4439013552543752e-05,22.58000000000004,0.00039159238319864107,-0.4400000000000013,-0.00032093362509117524,9.490000000000002,0.0016057529610829107
2190,제이씨현시스템(주),33320,2014-12-01,1997-11-10,,5,  도매 및 상품 중개업,2.33,10.77,3.72,2.69,23.99,9.6,37.37,628.32,12.7,81.73,0.0,-8.51,-0.007850553505535054,3.8899999999999997,0.00565406976744186,-0.1599999999999997,-0.00041237113402061776,-0.26000000000000023,-0.0008813559322033907,-2.2300000000000004,-0.0008504958047292145,-0.8100000000000005,-0.0007780979827089342,-7.75,-0.0017176418439716313,29.120000000000005,0.000485981308411215,-0.5700000000000003,-0.0004295403165033913,13.14,0.0019157311561452109
2191,제이엔케이히터(주),126880,2012-12-01,2011-01-31,,5,  기타 기계 및 장비 제조업,13.29,23.22,10.38,5.79,45.66,16.1,23.24,1850.29,10.2,41.88,0.0,-17.85,-0.005732177263969172,7.289999999999999,0.004576271186440678,49.13,0.012678709677419355,25.07,0.01300311203319502,750.5,0.010647806594404403,11.3,0.02354166666666667,-8.690000000000001,-0.002721578452865644,1206.38,0.01873522697271358,1.42,0.0016173120728929385,-52.68,-0.005571065989847716
2192,제이엔케이히터(주),126880,2013-12-01,2011-01-31,,5,  기타 기계 및 장비 제조업,-12.66,-3.51,0.13,0.27,19.25,23.56,15.63,1809.94,12.75,32.94,0.0,-25.95,-0.019525959367945822,-26.729999999999997,-0.011511627906976744,-10.25,-0.0098747591522158,-5.52,-0.009533678756476684,-26.409999999999997,-0.005784056066579062,7.459999999999997,0.004633540372670805,-7.609999999999998,-0.003274526678141135,-40.34999999999991,-0.00021807392354711915,2.5500000000000007,0.002500000000000001,-8.940000000000005,-0.0021346704871060183
2193,제이엔케이히터(주),126880,2014-12-01,2011-01-31,,5,  기타 기계 및 장비 제조업,21.93,10.86,-28.19,-11.5,-91.95,5.29,1.9,1342.72,10.31,46.62,0.0,34.59,0.02732227488151659,14.37,0.04094017094017094,-28.32,-2.1784615384615384,-11.77,-0.4359259259259259,-111.2,-0.05776623376623377,-18.27,-0.007754668930390492,-13.73,-0.008784388995521433,-467.22,-0.002581411538504039,-2.4399999999999995,-0.001913725490196078,13.68,0.004153005464480874
